Company;CI Name;CI Description;Domain;DNS Host Name;Priority;Region;System Role;Site Group;Manufacturer;Product Name;Additional Information;Site;Tier 1;Tier 2;Tier 3;Tag Number;NbrCells;Status;CI ID;Model Version
Airtel Uganda;BU-GSM-OMC-S3528-02;BU-GSM-OMC-S3528-02;AAUG-BU-GSM-OMC-S3528-02;BU-GSM-OMC-S3528-02;Priority_5;Kampala;Core;Kampala;Huawei;Core Switch-Huawei;;AAUG-Bugolobi;WLS Core;MPBN;Switch;;;Deployed;;
Airtel Uganda;AH-GPRS-E1000E-01;AH-GPRS-E1000E-01;AAUG-AH-GPRS-E1000E-01;AH-GPRS-E1000E-01;Priority_5;Kampala;Core;Kampala;Huawei;Firewall-Huawei;;AAUG-Airtel House;WLS Core;MPBN;Firewall;;;Deployed;;
Airtel Uganda;Buluuta(EA5323);Buluuta(EA5323) | East;AAUG-Buluuta(EA5323);Buluuta(EA5323);Priority_5;East;2G;East;Huawei;BTS-Huawei;;AAUG-EA5323;RAN;GSM (2G);BTS;JNHBSC1;;Deployed;;
Airtel Uganda;WE2609-Kanywa;WE2609-Kanywa | West;AAUG-WE2609-Kanywa;WE2609-Kanywa;Priority_5;West;SRAN;West;Huawei;DBS3900;;AAUG-WE2609;RAN;Multi Techno;Base Station;;0;Deployed;;
Airtel Uganda;KA1647-Kitale;KA1647-Kitale | Central;AAUG-KA1647-Kitale;KA1647-Kitale;Priority_5;Central;SRAN;Central;Huawei;DBS3900;;AAUG-KA1647;RAN;Multi Techno;Base Station;;0;Deployed;;
Airtel Uganda;Mamerito road(KA1606);Mamerito road(KA1606) | Central;AAUG-Mamerito road(KA1606);Mamerito road(KA1606);Priority_5;Central;2G;Central;Huawei;BTS-Huawei;;AAUG-KA1606;RAN;GSM (2G);BTS;BUBSC03;;Deployed;;
Airtel Uganda;Magogo_EA5426;Magogo_EA5426 | East;AAUG-Magogo_EA5426;Magogo_EA5426;Priority_5;East;4G;East;Huawei;eNodeB-Huawei;;AAUG-EA5426;RAN;LTE (4G);eNodeB;;;Deployed;;
Airtel Uganda;MASINDIAGG01-NEW;MASINDIAGG01-NEW;AAUG-MASINDIAGG01-NEW;MASINDIAGG01-NEW;Priority_5;Masindi;Core;Masindi;Huawei;Core Router-Huawei;;AAUG-Masindi;WLS Core;MPBN;Router;;;Deployed;;
Airtel Uganda;BURNC03;BURNC03 | Central;AAUG-BURNC03;BURNC03;Priority_5;Central;3G;Central;Huawei;BSC6910;;AAUG-DC;RAN;WCDMA/UMTS (3G);RNC;;;Deployed;;
Airtel Uganda;AHAGG01;AHAGG01;AAUG-AHAGG01;AHAGG01;Priority_5;Kampala;Core;Kampala;Huawei;Core Router-Huawei;;AAUG-Airtel House;WLS Core;MPBN;Router;;;Deployed;;
Airtel Uganda;MASAKAGG02-NEW;MASAKAGG02-NEW;AAUG-MASAKAGG02-NEW;MASAKAGG02-NEW;Priority_5;Masaka;Core;Masaka;Huawei;Core Router-Huawei;;AAUG-Masaka;WLS Core;MPBN;Router;;;Deployed;;
Airtel Uganda;Bukamba(EA5381);Bukamba(EA5381) | East;AAUG-Bukamba(EA5381);Bukamba(EA5381);Priority_5;East;2G;East;Huawei;BTS-Huawei;;AAUG-EA5381;RAN;GSM (2G);BTS;JNHBSC1;;Deployed;;
Airtel Uganda;WE2443-Kyazanga Town;WE2443-Kyazanga Town | West;AAUG-WE2443-Kyazanga Town;WE2443-Kyazanga Town;Priority_5;West;SRAN;West;Huawei;DBS3900;;AAUG-WE2443;RAN;Multi Techno;Base Station;;0;Deployed;;
Airtel Uganda;WE2603-Bukesa;WE2603-Bukesa | West;AAUG-WE2603-Bukesa;WE2603-Bukesa;Priority_5;West;SRAN;West;Huawei;DBS3900;;AAUG-WE2603;RAN;Multi Techno;Base Station;;0;Deployed;;
Airtel Uganda;Bulerejje(WE2605);Bulerejje(WE2605) | West;AAUG-Bulerejje(WE2605);Bulerejje(WE2605);Priority_5;West;2G;West;Huawei;BTS-Huawei;;AAUG-WE2605;RAN;GSM (2G);BTS;AHBSC02;;Deployed;;
Airtel Uganda;EA5323-Buluuta;EA5323-Buluuta | East;AAUG-EA5323-Buluuta;EA5323-Buluuta;Priority_5;East;SRAN;East;Huawei;DBS3900;;AAUG-EA5323;RAN;Multi Techno;Base Station;;;Deployed;;
Airtel Uganda;EA5352-Kaproron;EA5352-Kaproron | East;AAUG-EA5352-Kaproron;EA5352-Kaproron;Priority_5;East;SRAN;East;Huawei;DBS3900;;AAUG-EA5352;RAN;Multi Techno;Base Station;;0;Deployed;;
Airtel Uganda;AHRNC01;AHRNC01 | Central;AAUG-AHRNC01;AHRNC01;Priority_5;Central;3G;Central;Huawei;BSC6910;;AAUG-DC;RAN;WCDMA/UMTS (3G);RNC;;;Deployed;;
Airtel Uganda;MKBSC01;MKBSC01 | Central;AAUG-MKBSC01;MKBSC01;Priority_5;Central;2G;Central;Huawei;BSC-Huawei;;AAUG-DC;RAN;GSM (2G);BSC;;;Deployed;;
