Company;Site Name;Site Alias;Description;Region;Site Group;Street;Country;City;Latitude;Longitude;Maintenance Circle Name;Site Type;Location ID;PrimAlias;Additional Site Details;Status
Airtel Uganda;AAUG-WE2324;AAUG-WE2324;;West;West;;Uganda;West;;;;;;0;;Enabled
Airtel Uganda;AAUG-WE2324;Buhoma;;West;West;;Uganda;West;;;;;;1;;Enabled
Airtel Uganda;AAUG-WE2324;WE2324;;West;West;;Uganda;West;;;;;;1;;Enabled
Airtel Uganda;AAUG-WE2328;AAUG-WE2328;;West;West;;Uganda;West;;;;;;0;;Enabled
Airtel Uganda;AAUG-WE2329;AAUG-WE2329;;West;West;;Uganda;West;;;;;;0;;Enabled
Airtel Uganda;AAUG-WE2330;AAUG-WE2330;;West;West;;Uganda;West;;;;;;0;;Enabled
Airtel Uganda;AAUG-WE2332;AAUG-WE2332;;West;West;;Uganda;West;-0.22117;31.41666;;Outdoor;;0;;Enabled
Airtel Uganda;AAUG-WE2332;WE2332;;West;West;;Uganda;West;-0.22117;31.41666;;Outdoor;;1;;Enabled
Airtel Uganda;AAUG-WE2335;AAUG-WE2335;;West;West;;Uganda;West;;;;;;0;;Enabled
Airtel Uganda;AAUG-WE2336;AAUG-WE2336;;West;West;;Uganda;West;;;;;;0;;Enabled
Airtel Uganda;AAUG-WE2336;Kitagata;;West;West;;Uganda;West;;;;;;1;;Enabled
Airtel Uganda;AAUG-WE2328;Rubona;;West;West;;Uganda;West;;;;;;1;;Enabled
Airtel Uganda;AAUG-WE2330;Mitiri-Kyenjojo;;West;West;;Uganda;West;;;;;;1;;Enabled
Airtel Uganda;AAUG-WE2335;Ruhija_2;;West;West;;Uganda;West;;;;;;1;;Enabled
Airtel Uganda;AAUG-WE2328;WE2328;;West;West;;Uganda;West;;;;;;1;;Enabled
Airtel Uganda;AAUG-WE2330;WE2330;;West;West;;Uganda;West;;;;;;1;;Enabled
Airtel Uganda;AAUG-WE2335;WE2335;;West;West;;Uganda;West;;;;;;1;;Enabled
Airtel Uganda;AAUG-WE2329;Kasese2;;West;West;;Uganda;West;;;;;;1;;Enabled
Airtel Uganda;AAUG-WE2332;Kitembo;;West;West;;Uganda;West;-0.22117;31.41666;;Outdoor;;1;;Enabled
Airtel Uganda;AAUG-WE2329;WE2329;;West;West;;Uganda;West;;;;;;1;;Enabled
Airtel Uganda;AAUG-WE2336;WE2336;;West;West;;Uganda;West;;;;;;1;;Enabled
Airtel Uganda;AAUG-WE2337;AAUG-WE2337;;West;West;;Uganda;West;;;;;;0;;Enabled
Airtel Uganda;AAUG-WE2337;Kyabiruka;;West;West;;Uganda;West;;;;;;1;;Enabled
Airtel Uganda;AAUG-WE2337;WE2337;;West;West;;Uganda;West;;;;;;1;;Enabled
Airtel Uganda;AAUG-WE2341;AAUG-WE2341;;West;West;;Uganda;West;;;;;;0;;Enabled
Airtel Uganda;AAUG-WE2341;Bukorwa;;West;West;;Uganda;West;;;;;;1;;Enabled
Airtel Uganda;AAUG-WE2341;WE2341;;West;West;;Uganda;West;;;;;;1;;Enabled
Airtel Uganda;AAUG-WE2348;AAUG-WE2348;;West;West;;Uganda;West;;;;;;0;;Enabled
