Company;CI Name;CI Description;Domain;DNS Host Name;Priority;Region;System Role;Site Group;Manufacturer;Product Name;Additional Information;Site;Tier 1;Tier 2;Tier 3;Tag Number;NbrCells;Status;CI ID;Model Version
Airtel Zambia;LZM6090-IKELENGE-RP1;LZM6090-IKELENGE-RP1, | North Western;AAZM-LZM6090-IKELENGE-RP1;LZM6090-IKELENGE-RP1;Priority_5;North Western;4G;North Western;Nokia;eNodeB-Nokia;;AAZM-ZM6090;RAN;LTE (4G);eNodeB;;;Deployed;;
Airtel Zambia;MALAIKA_2420;MALAIKA_2420 | Copperbelt;AAZM-MALAIKA_2420;MALAIKA_2420;Priority_5;Copperbelt;2G;Copperbelt;Nokia;Flexi MultiRadio BTS - 2G;;AAZM-ZM6867;RAN;GSM (2G);BTS;BKITWE01;;Deployed;;
Airtel Zambia;MINDOLO_410;MINDOLO_410 | Copperbelt;AAZM-MINDOLO_410;MINDOLO_410;Priority_5;Copperbelt;2G;Copperbelt;Nokia;Flexi MultiRadio BTS - 2G;;AAZM-ZM0230;RAN;GSM (2G);BTS;BKITWE01;;Deployed;;
Airtel Zambia;WZM6773_NDEKE_CHANGACHANGA_SOUTH_3G;WZM6773_Ndeke_Changachanga_south_3G | Copperbelt;AAZM-WZM6773_NDEKE_CHANGACHANGA_SOUTH_3G;WZM6773_NDEKE_CHANGACHANGA_SOUTH_3G;Priority_5;Copperbelt;3G;Copperbelt;Nokia;Flexi MultiRadio BTS - 3G;;AAZM-ZM6773;RAN;WCDMA/UMTS (3G);NodeB;KTWRN12;;Deployed;;
Airtel Zambia;CHIPEMBI;CHIPEMBI | Lusaka South;AAZM-CHIPEMBI;CHIPEMBI;Priority_5;Lusaka South;2G;Lusaka South;Ericsson;BTS-Ericsson;;AAZM-ZM0679;RAN;GSM (2G);BTS;LSEBS07;;Deployed;;
Airtel Zambia;HARMONY_36;HARMONY_36 | Southern;AAZM-HARMONY_36;HARMONY_36;Priority_5;Southern;2G;Southern;Nokia;Flexi MultiRadio BTS - 2G;;AAZM-ZM3804;RAN;GSM (2G);BTS;BCHOMA;;Deployed;;
Airtel Zambia;KABWATA_WEST;KABWATA_WEST | Lusaka North;AAZM-KABWATA_WEST;KABWATA_WEST;Priority_5;Lusaka North;2G;Lusaka North;Ericsson;BTS-Ericsson;;AAZM-ZM0140;RAN;GSM (2G);BTS;LSEBS13;;Deployed;;
Airtel Zambia;CHILULU;CHILULU | Lusaka North;AAZM-CHILULU;CHILULU;Priority_5;Lusaka North;2G;Lusaka North;Ericsson;BTS-Ericsson;;AAZM-ZM3370;RAN;GSM (2G);BTS;LSEBS06;;Deployed;;
Airtel Zambia;WZM0798_NDOLA_TOWN_CENTRE;WZM0798_NDOLA_TOWN_CENTRE | Copperbelt;AAZM-WZM0798_NDOLA_TOWN_CENTRE;WZM0798_NDOLA_TOWN_CENTRE;Priority_5;Copperbelt;3G;Copperbelt;Nokia;Flexi MultiRadio BTS - 3G;;AAZM-ZM0798;RAN;WCDMA/UMTS (3G);NodeB;KTWRN11;;Deployed;;
Airtel Zambia;PAMODZIHOTEL_IB;PAMODZIHOTEL_IB | Lusaka North;AAZM-PAMODZIHOTEL_IB;PAMODZIHOTEL_IB;Priority_5;Lusaka North;2G;Lusaka North;Ericsson;BTS-Ericsson;;AAZM-ZM0724;RAN;GSM (2G);BTS;LSEBS13;;Deployed;;
Airtel Zambia;WZM0037_KASUMBALESA;WZM0037_KASUMBALESA | Copperbelt;AAZM-WZM0037_KASUMBALESA;WZM0037_KASUMBALESA;Priority_5;Copperbelt;3G;Copperbelt;Nokia;Flexi MultiRadio BTS - 3G;;AAZM-ZM0037;RAN;WCDMA/UMTS (3G);NodeB;KTWRN12;;Deployed;;
Airtel Zambia;MANCHINDA_550;MANCHINDA_550 | Southern;AAZM-MANCHINDA_550;MANCHINDA_550;Priority_5;Southern;2G;Southern;Nokia;Flexi MultiRadio BTS - 2G;;AAZM-ZM3128;RAN;GSM (2G);BTS;BCHOMA;;Deployed;;
Airtel Zambia;PROTEA_NEW;PROTEA_NEW | Lusaka South;AAZM-PROTEA_NEW;PROTEA_NEW;Priority_5;Lusaka South;2G;Lusaka South;Ericsson;BTS-Ericsson;;AAZM-ZM3452;RAN;GSM (2G);BTS;LSEBS07;;Deployed;;
Airtel Zambia;UNZAMAINLIBR_Z;UNZAMAINLIBR_Z | Lusaka North;AAZM-UNZAMAINLIBR_Z;UNZAMAINLIBR_Z;Priority_5;Lusaka North;2G;Lusaka North;Ericsson;BTS-Ericsson;;AAZM-ZM6751;RAN;GSM (2G);BTS;LSEBS04;;Deployed;;
Airtel Zambia;LUPANI;LUPANI | Southern;AAZM-LUPANI;LUPANI;Priority_5;Southern;2G;Southern;Nokia;Flexi MultiRadio BTS - 2G;;AAZM-ZM3357;RAN;GSM (2G);BTS;BLVSTN01;;Deployed;;
Airtel Zambia;CHIEFMUKUMBI_4;CHIEFMUKUMBI_4 | North Western;AAZM-CHIEFMUKUMBI_4;CHIEFMUKUMBI_4;Priority_5;North Western;2G;North Western;Nokia;Flexi MultiRadio BTS - 2G;;AAZM-ZM6048;RAN;GSM (2G);BTS;SLBSC16;;Deployed;;
Airtel Zambia;DAR_FARMS;DAR_FARMS | Central;AAZM-DAR_FARMS;DAR_FARMS;Priority_5;Central;2G;Central;Ericsson;BTS-Ericsson;;AAZM-ZM3737;RAN;GSM (2G);BTS;KBBSC09;;Deployed;;
Airtel Zambia;KAYAMBI;KAYAMBI | Northern;AAZM-KAYAMBI;KAYAMBI;Priority_5;Northern;2G;Northern;Ericsson;BTS-Ericsson;;AAZM-ZM0757;RAN;GSM (2G);BTS;KSEBS10;;Deployed;;
Airtel Zambia;NKEYIMA RP.;NKEYIMA RP. | Western;AAZM-NKEYIMA RP.;NKEYIMA RP.;Priority_5;Western;2G;Western;Nokia;Flexi MultiRadio BTS - 2G;;AAZM-ZM6571;RAN;GSM (2G);BTS;BMONGU01;;Deployed;;
Airtel Zambia;MUFUMBWE_460;MUFUMBWE_460 | North Western;AAZM-MUFUMBWE_460;MUFUMBWE_460;Priority_5;North Western;2G;North Western;Nokia;Flexi MultiRadio BTS - 2G;;AAZM-ZM0255;RAN;GSM (2G);BTS;SLBSC16;;Deployed;;
Airtel Zambia;NYANZALA;NYANZALA | Lusaka South;AAZM-NYANZALA;NYANZALA;Priority_5;Lusaka South;2G;Lusaka South;Ericsson;BTS-Ericsson;;AAZM-ZM0090;RAN;GSM (2G);BTS;LSEBS12;;Deployed;;
Airtel Zambia;NONAMECAMP_350;NONAMECAMP_350 | Southern;AAZM-NONAMECAMP_350;NONAMECAMP_350;Priority_5;Southern;2G;Southern;Nokia;Flexi MultiRadio BTS - 2G;;AAZM-ZM3577;RAN;GSM (2G);BTS;BLVSTN01;;Deployed;;
Airtel Zambia;CHAWAMA_WEST;CHAWAMA_WEST | Lusaka North;AAZM-CHAWAMA_WEST;CHAWAMA_WEST;Priority_5;Lusaka North;2G;Lusaka North;Ericsson;BTS-Ericsson;;AAZM-ZM0115;RAN;GSM (2G);BTS;LSEBS06;;Deployed;;
Airtel Zambia;CHIKNKTATRNOF_4;CHIKNKTATRNOF_4 | Southern;AAZM-CHIKNKTATRNOF_4;CHIKNKTATRNOF_4;Priority_5;Southern;2G;Southern;Nokia;Flexi MultiRadio BTS - 2G;;AAZM-ZM3801;RAN;GSM (2G);BTS;BCHOMA;;Deployed;;
Airtel Zambia;CHAMBA_VALLEY;CHAMBA_VALLEY | Lusaka North;AAZM-CHAMBA_VALLEY;CHAMBA_VALLEY;Priority_5;Lusaka North;2G;Lusaka North;Ericsson;BTS-Ericsson;;AAZM-ZM0131;RAN;GSM (2G);BTS;LSEBS04;;Deployed;;
Airtel Zambia;MUTENDE_2_RLF;MUTENDE_2_RLF | Luapula;AAZM-MUTENDE_2_RLF;MUTENDE_2_RLF;Priority_5;Luapula;2G;Luapula;Ericsson;BTS-Ericsson;;AAZM-ZM3974;RAN;GSM (2G);BTS;MSBSC15;;Deployed;;
Airtel Zambia;LUKULU;LUKULU | Western;AAZM-LUKULU;LUKULU;Priority_5;Western;2G;Western;Nokia;Flexi MultiRadio BTS - 2G;;AAZM-ZM0190;RAN;GSM (2G);BTS;BMONGU01;;Deployed;;
Airtel Zambia;MWAIWAKE;MWAIWAKE | Lusaka North;AAZM-MWAIWAKE;MWAIWAKE;Priority_5;Lusaka North;2G;Lusaka North;Ericsson;BTS-Ericsson;;AAZM-ZM0849;RAN;GSM (2G);BTS;LSEBS13;;Deployed;;
Airtel Zambia;WZM6194_MONGU1RLF;WZM6194_MONGU1RLF | Western;AAZM-WZM6194_MONGU1RLF;WZM6194_MONGU1RLF;Priority_5;Western;3G;Western;Nokia;Flexi MultiRadio BTS - 3G;;AAZM-ZM6194;RAN;WCDMA/UMTS (3G);NodeB;NTCRN14;;Deployed;;
Airtel Zambia;MWAMI_460;MWAMI_460 | Eastern;AAZM-MWAMI_460;MWAMI_460;Priority_5;Eastern;2G;Eastern;Nokia;Flexi MultiRadio BTS - 2G;;AAZM-ZM0125;RAN;GSM (2G);BTS;BCHIPATA01;;Deployed;;
Airtel Zambia;WZM6960_T3468_CHIKOLA_VALLEY_LOOP_AREA;WZM6960_T3468_CHIKOLA_VALLEY_LOOP_AREA | Copperbelt;AAZM-WZM6960_T3468_CHIKOLA_VALLEY_LOOP_AREA;WZM6960_T3468_CHIKOLA_VALLEY_LOOP_AREA;Priority_5;Copperbelt;3G;Copperbelt;Nokia;Flexi MultiRadio BTS - 3G;;AAZM-ZM6960;RAN;WCDMA/UMTS (3G);NodeB;KTWRN12;;Deployed;;
Airtel Zambia;WZM6959_T3233_NDEKE_TOWNSHIP;WZM6959_T3233_NDEKE_TOWNSHIP | Copperbelt;AAZM-WZM6959_T3233_NDEKE_TOWNSHIP;WZM6959_T3233_NDEKE_TOWNSHIP;Priority_5;Copperbelt;3G;Copperbelt;Nokia;Flexi MultiRadio BTS - 3G;;AAZM-ZM6959;RAN;WCDMA/UMTS (3G);NodeB;KTWRN11;;Deployed;;
Airtel Zambia;LUFWANYAMA ROAD_1610;LUFWANYAMA ROAD_1610 | Copperbelt;AAZM-LUFWANYAMA ROAD_1610;LUFWANYAMA ROAD_1610;Priority_5;Copperbelt;2G;Copperbelt;Nokia;Flexi MultiRadio BTS - 2G;;AAZM-ZM0678;RAN;GSM (2G);BTS;BKITWE01;;Deployed;;
Airtel Zambia;WZM0098_PAMODZI;WZM0098_PAMODZI | Copperbelt;AAZM-WZM0098_PAMODZI;WZM0098_PAMODZI;Priority_5;Copperbelt;3G;Copperbelt;Nokia;Flexi MultiRadio BTS - 3G;;AAZM-ZM0098;RAN;WCDMA/UMTS (3G);NodeB;KTWRN11;;Deployed;;
Airtel Zambia;MUSANZA;MUSANZA | Northern;AAZM-MUSANZA;MUSANZA;Priority_5;Northern;2G;Northern;Ericsson;BTS-Ericsson;;AAZM-ZM6127;RAN;GSM (2G);BTS;KSBSC10;;Deployed;;
Airtel Zambia;MAAMBA TOWN1_11;MAAMBA TOWN1_11 | Southern;AAZM-MAAMBA TOWN1_11;MAAMBA TOWN1_11;Priority_5;Southern;2G;Southern;Nokia;Flexi MultiRadio BTS - 2G;;AAZM-ZM3972;RAN;GSM (2G);BTS;BCHOMA;;Deployed;;
Airtel Zambia;UTH;UTH | Lusaka;AAZM-UTH;UTH;Priority_5;Lusaka;2G;Lusaka;Ericsson;BTS-Ericsson;;AAZM-ZM0119;RAN;GSM (2G);BTS;LSEBS13;;Deployed;;
Airtel Zambia;WZM3343_NOTIE_BROAD;WZM3343_NOTIE_BROAD | Southern;AAZM-WZM3343_NOTIE_BROAD;WZM3343_NOTIE_BROAD;Priority_5;Southern;3G;Southern;Nokia;Flexi MultiRadio BTS - 3G;;AAZM-ZM3343;RAN;WCDMA/UMTS (3G);NodeB;WTCRN13;;Deployed;;
Airtel Zambia;MAKENI_3G;MAKENI_3G | Lusaka South;AAZM-MAKENI_3G;MAKENI_3G;Priority_5;Lusaka South;2G;Lusaka South;Ericsson;BTS-Ericsson;;AAZM-ZM6778;RAN;GSM (2G);BTS;LSEBS12;;Deployed;;
Airtel Zambia;WZM0016_CHOMA;WZM0016_CHOMA | Southern;AAZM-WZM0016_CHOMA;WZM0016_CHOMA;Priority_5;Southern;3G;Southern;Nokia;Flexi MultiRadio BTS - 3G;;AAZM-ZM0016;RAN;WCDMA/UMTS (3G);NodeB;WTCRN13;;Deployed;;
Airtel Zambia;MFUWE AIRPORT_50;MFUWE AIRPORT_50 | Eastern;AAZM-MFUWE AIRPORT_50;MFUWE AIRPORT_50;Priority_5;Eastern;2G;Eastern;Nokia;Flexi MultiRadio BTS - 2G;;AAZM-ZM0126;RAN;GSM (2G);BTS;BCHIPATA01;;Deployed;;
Airtel Zambia;CHIFUBU_640;CHIFUBU_640 | Copperbelt;AAZM-CHIFUBU_640;CHIFUBU_640;Priority_5;Copperbelt;2G;Copperbelt;Nokia;Flexi MultiRadio BTS - 2G;;AAZM-ZM0804;RAN;GSM (2G);BTS;BNDOLA;;Deployed;;
