Company;Site Name;Site Alias;Description;Region;Site Group;Street;Country;City;Latitude;Longitude;Maintenance Circle Name;Site Type;Location ID;PrimAlias;Additional Site Details;Status
Airtel Zambia;AAZM-ZM6054;AAZM-ZM6054;;Central;Central;;Zambia;Central;;;;;;0;;Enabled
Airtel Zambia;AAZM-ZM6054;SACHBNDSCHOOL;;Central;Central;;Zambia;Central;;;;;;1;;Enabled
Airtel Zambia;AAZM-ZM0281;ZM0281;T3166_KWACHA EAST;Copperbelt;Copperbelt;;Zambia;Copperbelt;-12.77867;28.23493;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-WTC;AAZM-WTC;;Lusaka;Lusaka;Core Site;Zambia;Lusaka;;;;;;0;;Enabled
Airtel Zambia;AAZM-ZM3411;AAZM-ZM3411;;Central;Central;;Zambia;Central;;;;;;0;;Enabled
Airtel Zambia;AAZM-DC;DC;;Central;Central;unknown sites;Zambia;Central;;;;;;1;;Enabled
Airtel Zambia;AAZM-ZM3411;MWILWE;;Central;Central;;Zambia;Central;;;;;;1;;Enabled
Airtel Zambia;AAZM-NTC;AAZM-NTC;;Lusaka;Lusaka;Core Site;Zambia;Lusaka;;;;;;0;;Enabled
Airtel Zambia;AAZM-DC;AAZM-DC;;Central;Central;unknown sites;Zambia;Central;;;;;;0;;Enabled
Airtel Zambia;AAZM-CHILILABOMBWEN;AAZM-CHILILABOMBWEN;;Central;Central;;Zambia;Central;;;;;;0;;Enabled
Airtel Zambia;AAZM-ZM0207;AAZM-ZM0207;;Lusaka;Lusaka;;Zambia;Lusaka;;;;;;0;;Enabled
Airtel Zambia;AAZM-ZM0122;WZM0122B;;Lusaka North;Lusaka North;;Zambia;Lusaka North;;;;;;1;;Enabled
Airtel Zambia;AAZM-ZM0119;AAZM-ZM0119;;Lusaka;Lusaka;;Zambia;Lusaka;;;;;;0;;Enabled
Airtel Zambia;AAZM-ZM0119;WZM0119B;;Lusaka;Lusaka;;Zambia;Lusaka;;;;;;1;;Enabled
Airtel Zambia;AAZM-CHILILABOMBWEN;CHILILABOMBWEN;;Central;Central;;Zambia;Central;;;;;;1;;Enabled
Airtel Zambia;AAZM-ZM0122;WZM0122A;;Lusaka North;Lusaka North;;Zambia;Lusaka North;;;;;;1;;Enabled
Airtel Zambia;AAZM-ZM0207;SIAVONGA_ROAD;;Lusaka;Lusaka;;Zambia;Lusaka;;;;;;1;;Enabled
Airtel Zambia;AAZM-ZM0207;WZM0207A;;Lusaka;Lusaka;;Zambia;Lusaka;;;;;;1;;Enabled
Airtel Zambia;AAZM-ZM0207;WZM0207B;;Lusaka;Lusaka;;Zambia;Lusaka;;;;;;1;;Enabled
Airtel Zambia;AAZM-ZM0207;WZM0207C;;Lusaka;Lusaka;;Zambia;Lusaka;;;;;;1;;Enabled
Airtel Zambia;AAZM-ZM0122;AAZM-ZM0122;;Lusaka North;Lusaka North;;Zambia;Lusaka North;;;;;;0;;Enabled
Airtel Zambia;AAZM-ZM0122;MUKUYU_FARMS;;Lusaka North;Lusaka North;;Zambia;Lusaka North;;;;;;1;;Enabled
Airtel Zambia;AAZM-ZM0119;WZM0119A;;Lusaka;Lusaka;;Zambia;Lusaka;;;;;;1;;Enabled
Airtel Zambia;AAZM-ZM0119;WZM0119C;;Lusaka;Lusaka;;Zambia;Lusaka;;;;;;1;;Enabled
Airtel Zambia;AAZM-ZM3760;JIMBEBORDER_12;;Copperbelt;Copperbelt;;Zambia;Copperbelt;;;;;;1;;Enabled
Airtel Zambia;AAZM-ZM0122;WZM0122C;;Lusaka North;Lusaka North;;Zambia;Lusaka North;;;;;;1;;Enabled
Airtel Zambia;AAZM-ZM3760;AAZM-ZM3760;;Copperbelt;Copperbelt;;Zambia;Copperbelt;;;;;;0;;Enabled
Airtel Zambia;AAZM-ZM0273;3G_4301_T3192D_SIKALANGWE POLICE;T3192D_SIKALANGWE POLICE;Copperbelt;Copperbelt;;Zambia;Copperbelt;-12.56056;28.264254;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM0273;4301_T3192D_SIKALANGWE POLICE;T3192D_SIKALANGWE POLICE;Copperbelt;Copperbelt;;Zambia;Copperbelt;-12.56056;28.264254;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM0273;AAZM-ZM0273;T3192D_SIKALANGWE POLICE;Copperbelt;Copperbelt;;Zambia;Copperbelt;-12.56056;28.264254;;Outdoor;;0;;Enabled
Airtel Zambia;AAZM-ZM0277;AAZM-ZM0277;T3268_Kwacha Share;Copperbelt;Copperbelt;;Zambia;Copperbelt;-12.53967;28.224555;;Outdoor;;0;;Enabled
Airtel Zambia;AAZM-ZM0279;AAZM-ZM0279;SIOMA;Western;Western;;Zambia;Western;-16.605315;23.498915;;Outdoor;;0;;Enabled
Airtel Zambia;AAZM-ZM0281;AAZM-ZM0281;T3166_KWACHA EAST;Copperbelt;Copperbelt;;Zambia;Copperbelt;-12.77867;28.23493;;Outdoor;;0;;Enabled
Airtel Zambia;AAZM-ZM0273;SIKALANGWE POLICE;T3192D_SIKALANGWE POLICE;Copperbelt;Copperbelt;;Zambia;Copperbelt;-12.56056;28.264254;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM0277;KWACHA SHARE;T3268_Kwacha Share;Copperbelt;Copperbelt;;Zambia;Copperbelt;-12.53967;28.224555;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM0279;3G_SIOMA;SIOMA;Western;Western;;Zambia;Western;-16.605315;23.498915;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM0281;3G_4305_T3166_KWACHA EAST;T3166_KWACHA EAST;Copperbelt;Copperbelt;;Zambia;Copperbelt;-12.77867;28.23493;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM0273;ZM0273;T3192D_SIKALANGWE POLICE;Copperbelt;Copperbelt;;Zambia;Copperbelt;-12.56056;28.264254;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM0277;ZM0277;T3268_Kwacha Share;Copperbelt;Copperbelt;;Zambia;Copperbelt;-12.53967;28.224555;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM0279;ZM0279;SIOMA;Western;Western;;Zambia;Western;-16.605315;23.498915;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM0277;3G_4303_T3268_Kwacha Share;T3268_Kwacha Share;Copperbelt;Copperbelt;;Zambia;Copperbelt;-12.53967;28.224555;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM0281;KWACHA EAST;T3166_KWACHA EAST;Copperbelt;Copperbelt;;Zambia;Copperbelt;-12.77867;28.23493;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM0277;4303_T3268_Kwacha Share;T3268_Kwacha Share;Copperbelt;Copperbelt;;Zambia;Copperbelt;-12.53967;28.224555;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM0281;4305_T3166_KWACHA EAST;T3166_KWACHA EAST;Copperbelt;Copperbelt;;Zambia;Copperbelt;-12.77867;28.23493;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM0279;3748_SIOMA;SIOMA;Western;Western;;Zambia;Western;-16.605315;23.498915;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM0279;SIOMA;SIOMA;Western;Western;;Zambia;Western;-16.605315;23.498915;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM0283;3719_KABOMPO;KABOMPO;North Western;North Western;;Zambia;North Western;-13.597361;24.205194;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM0283;3G_KABOMPO;KABOMPO;North Western;North Western;;Zambia;North Western;-13.597361;24.205194;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM0283;AAZM-ZM0283;KABOMPO;North Western;North Western;;Zambia;North Western;-13.597361;24.205194;;Outdoor;;0;;Enabled
Airtel Zambia;AAZM-ZM0283;KABOMPO;KABOMPO;North Western;North Western;;Zambia;North Western;-13.597361;24.205194;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM0283;ZM0283;KABOMPO;North Western;North Western;;Zambia;North Western;-13.597361;24.205194;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM0288;3G_4335_T3256D_Kabundi Park;T3256D_Kabundi Park;Copperbelt;Copperbelt;;Zambia;Copperbelt;-12.5221;27.8851;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM0288;4335_T3256D_Kabundi Park;T3256D_Kabundi Park;Copperbelt;Copperbelt;;Zambia;Copperbelt;-12.5221;27.8851;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM0288;AAZM-ZM0288;T3256D_Kabundi Park;Copperbelt;Copperbelt;;Zambia;Copperbelt;-12.5221;27.8851;;Outdoor;;0;;Enabled
Airtel Zambia;AAZM-ZM0288;ZM0288;T3256D_Kabundi Park;Copperbelt;Copperbelt;;Zambia;Copperbelt;-12.5221;27.8851;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM0290;5250_T1091D_SOLWEZI TEACHERS COLLEGE;T1091D_SOLWEZI TEACHERS COLLEGE;North Western;North Western;;Zambia;North Western;-12.204;26.4054;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM0290;AAZM-ZM0290;T1091D_SOLWEZI TEACHERS COLLEGE;North Western;North Western;;Zambia;North Western;-12.204;26.4054;;Outdoor;;0;;Enabled
Airtel Zambia;AAZM-ZM0290;SOLWEZI TEACHERS COLLEGE;T1091D_SOLWEZI TEACHERS COLLEGE;North Western;North Western;;Zambia;North Western;-12.204;26.4054;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM0290;ZM0290;T1091D_SOLWEZI TEACHERS COLLEGE;North Western;North Western;;Zambia;North Western;-12.204;26.4054;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM0293;5252_T1011D_CHAWAMA A;T1011D_CHAWAMA A;North Western;North Western;;Zambia;North Western;-12.1752;26.3845;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM0293;AAZM-ZM0293;T1011D_CHAWAMA A;North Western;North Western;;Zambia;North Western;-12.1752;26.3845;;Outdoor;;0;;Enabled
Airtel Zambia;AAZM-ZM0293;CHAWAMA A;T1011D_CHAWAMA A;North Western;North Western;;Zambia;North Western;-12.1752;26.3845;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM0293;ZM0293;T1011D_CHAWAMA A;North Western;North Western;;Zambia;North Western;-12.1752;26.3845;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM0323;AAZM-ZM0323;NTHITIMILA;Eastern;Eastern;;Zambia;Eastern;-12.545333;33.2175276;;Outdoor;;0;;Enabled
Airtel Zambia;AAZM-ZM0323;ZM0323;NTHITIMILA;Eastern;Eastern;;Zambia;Eastern;-12.545333;33.2175276;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM0332;AAZM-ZM0332;MPONDA;Eastern;Eastern;;Zambia;Eastern;-12.774305;32.9335;;Outdoor;;0;;Enabled
Airtel Zambia;AAZM-ZM0332;ZM0332;MPONDA;Eastern;Eastern;;Zambia;Eastern;-12.774305;32.9335;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM0372;4237_MANDA_HILL_MTN;MANDA_HILL_MTN;Lusaka North;Lusaka North;;Zambia;Lusaka North;-15.38848;28.30372;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM0372;AAZM-ZM0372;MANDA_HILL_MTN;Lusaka North;Lusaka North;;Zambia;Lusaka North;-15.38848;28.30372;;Outdoor;;0;;Enabled
Airtel Zambia;AAZM-ZM0372;ZM0372;MANDA_HILL_MTN;Lusaka North;Lusaka North;;Zambia;Lusaka North;-15.38848;28.30372;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM0374;AAZM-ZM0374;KABWATA_MTN;Lusaka North;Lusaka North;;Zambia;Lusaka North;-15.43991;28.30389;;Outdoor;;0;;Enabled
Airtel Zambia;AAZM-ZM0374;ZM0374;KABWATA_MTN;Lusaka North;Lusaka North;;Zambia;Lusaka North;-15.43991;28.30389;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM0376;AAZM-ZM0376;GARDENCENTRAL;Lusaka North;Lusaka North;;Zambia;Lusaka North;-15.3881;28.287518;;Outdoor;;0;;Enabled
