Company;CI Name;CI Description;Domain;DNS Host Name;Priority;Region;System Role;Site Group;Manufacturer;Product Name;;Site;Tier 1;Tier 2;Tier 3;Tag Number;NbrCells;Status;CI ID;Model Version
Capita TfL GB;PCN-J007-HCU-ZDC8-S;PCN-J007-HCU-ZDC8-S | Sector 27 | Platform 1;TFLGB-PCN-J007-HCU-ZDC8-S;PCN-J007-HCU-ZDC8-S;Priority_5;London;HCU;Canary Wharf;SOLiD;SOLiD HCU;Platform 1;TFLGB-J007;RAN;Multi Techno;Repeater, Transcoder;Sector 27;;Deployed;;
Capita TfL GB;PCN-J005-LRN-37S;PCN-J005-LRN-37S | Sector 32 | Ticket Hall_Escalator;TFLGB-PCN-J005-LRN-37S;PCN-J005-LRN-37S;Priority_5;London;LRN;North Greenwhich;SOLiD;SOLiD LRN;Ticket Hall_Escalator;TFLGB-J005;RAN;Multi Techno;Repeater, Transcoder;Sector 32;;Deployed;;
Capita TfL GB;PCN-J012-J-EBLO-HRN-002M;PCN-J012-J-EBLO-HRN-002M | Sector 25 | East Tunnel;TFLGB-PCN-J012-J-EBLO-HRN-002M;PCN-J012-J-EBLO-HRN-002M;Priority_5;London;HRN;Canada Water;SOLiD;SOLiD HRN;East Tunnel;TFLGB-J012;RAN;Multi Techno;Repeater, Transcoder;Sector 25;;Deployed;;
Capita TfL GB;PCN-J011-LRN-53M;PCN-J011-LRN-53M | Sector 20 | Platform 1;TFLGB-PCN-J011-LRN-53M;PCN-J011-LRN-53M;Priority_5;London;LRN;Bermondsey;SOLiD;SOLiD LRN;Platform 1;TFLGB-J011;RAN;Multi Techno;Repeater, Transcoder;Sector 20;;Deployed;;
Capita TfL GB;PCN-J007-LRN-20M;PCN-J007-LRN-20M | Sector 27 | Platform 1;TFLGB-PCN-J007-LRN-20M;PCN-J007-LRN-20M;Priority_5;London;LRN;Canary Wharf;SOLiD;SOLiD LRN;Platform 1;TFLGB-J007;RAN;Multi Techno;Repeater, Transcoder;Sector 27;;Deployed;;
Capita TfL GB;PCN-J013-HCU-ZDC4-M2;PCN-J013-HCU-ZDC4-M2 | Sector 10 | Platform 1;TFLGB-PCN-J013-HCU-ZDC4-M2;PCN-J013-HCU-ZDC4-M2;Priority_5;London;HCU;Southwark;SOLiD;SOLiD HCU;Platform 1;TFLGB-J013;RAN;Multi Techno;Repeater, Transcoder;Sector 10;;Deployed;;
Capita TfL GB;PCN-J013-HCU-ZDC5-S;PCN-J013-HCU-ZDC5-S | Sector 12 | Ticket Hall_Escalator;TFLGB-PCN-J013-HCU-ZDC5-S;PCN-J013-HCU-ZDC5-S;Priority_5;London;HCU;Southwark;SOLiD;SOLiD HCU;Ticket Hall_Escalator;TFLGB-J013;RAN;Multi Techno;Repeater, Transcoder;Sector 12;;Deployed;;
Capita TfL GB;PCN-J013-LRN-36S;PCN-J013-LRN-36S | Sector 12 | Ticket Hall_Escalator;TFLGB-PCN-J013-LRN-36S;PCN-J013-LRN-36S;Priority_5;London;LRN;Southwark;SOLiD;SOLiD LRN;Ticket Hall_Escalator;TFLGB-J013;RAN;Multi Techno;Repeater, Transcoder;Sector 12;;Deployed;;
Capita TfL GB;PCN-D101-LRN-52M;PCN-D101-LRN-52M | Sector 3 | Ticket Hall_Escalator;TFLGB-PCN-D101-LRN-52M;PCN-D101-LRN-52M;Priority_5;London;LRN;Westminster;SOLiD;SOLiD LRN;Ticket Hall_Escalator;TFLGB-D101;RAN;Multi Techno;Repeater, Transcoder;Sector 3;;Deployed;;
Capita TfL GB;PCN-D101-HCU-ZDC3-M;PCN-D101-HCU-ZDC3-M | Sector 3 | Ticket Hall_Escalator;TFLGB-PCN-D101-HCU-ZDC3-M;PCN-D101-HCU-ZDC3-M;Priority_5;London;HCU;Westminster;SOLiD;SOLiD HCU;Ticket Hall_Escalator;TFLGB-D101;RAN;Multi Techno;Repeater, Transcoder;Sector 3;;Deployed;;
