Company;Site Name;Site Alias;Description;Region;Site Group;Street;Country;City;Latitude;Longitude;Maintenance Circle Name;Site Type;Location ID;Additional Site Details;Status
Capita TfL GB;TFLGB-J007;TFLGB-J007;;London;Canary Wharf;;United Kingdom;London;;;Station;Indoor;;;Enabled
Capita TfL GB;TFLGB-J008;TFLGB-J008;;London;Canary Wharf;;United Kingdom;London;;;Tunnel;Indoor;;;Enabled
Capita TfL GB;TFLGB-N135;TFLGB-N135;;London;London Bridge;;United Kingdom;London;;;Station;Indoor;;;Enabled
Capita TfL GB;TFLGB-J016;TFLGB-J016;;London;London Bridge;;United Kingdom;London;;;Tunnel;Indoor;;;Enabled
Capita TfL GB;TFLGB-J005;TFLGB-J005;;London;North Greenwhich;;United Kingdom;London;;;Station;Indoor;;;Enabled
Capita TfL GB;TFLGB-J006;TFLGB-J006;;London;North Greenwhich;;United Kingdom;London;;;Tunnel;Indoor;;;Enabled
Capita TfL GB;TFLGB-J013;TFLGB-J013;;London;Southwark;;United Kingdom;London;;;Station;Indoor;;;Enabled
Capita TfL GB;TFLGB-J014;TFLGB-J014;;London;Bermondsey;;United Kingdom;London;;;Tunnel;Indoor;;;Enabled
Capita TfL GB;TFLGB-J011;TFLGB-J011;;London;Bermondsey;;United Kingdom;London;;;Station;Indoor;;;Enabled
Capita TfL GB;TFLGB-J009;TFLGB-J009;;London;Canada Water;;United Kingdom;London;;;Station;Indoor;;;Enabled
Capita TfL GB;TFLGB-J012;TFLGB-J012;;London;Canada Water;;United Kingdom;London;;;Tunnel;Indoor;;;Enabled
Capita TfL GB;TFLGB-J018;TFLGB-J018;;London;Southwark;;United Kingdom;London;;;Tunnel;Indoor;;;Enabled
Capita TfL GB;TFLGB-N115;TFLGB-N115;;London;Waterloo;;United Kingdom;London;;;Station;Indoor;;;Enabled
Capita TfL GB;TFLGB-J022;TFLGB-J022;;London;Waterloo;;United Kingdom;London;;;Tunnel;Indoor;;;Enabled
Capita TfL GB;TFLGB-D101;TFLGB-D101;;London;Westminster;;United Kingdom;London;;;Station;Indoor;;;Enabled
Capita TfL GB;TFLGB-J024;TFLGB-J024;;London;Westminster;;United Kingdom;London;;;Tunnel;Indoor;;;Enabled
Capita TfL GB;TFLGB-J024;TFLGB-J024;;London;Westminster;;United Kingdom;London;;;Tunnel;Indoor;;;Enabled
