Company;CI Name;CI Description;Domain;DNS Host Name;Priority;Region;System Role;Site Group;Manufacturer;Product Name;Additional Information;Site;Tier 1;Tier 2;Tier 3;Tag Number;NbrCells;Status;CI ID;Model Version
EMTS NG;U4890;U4890 | Aba;.;U4890;Priority_4;Aba;3G;Aba;Nokia;Flexi WCDMA;;EMT-4890;RAN;WCDMA/UMTS (3G);NodeB;ABRN116;;Deployed;;
EMTS NG;5667_3921_9662_LSY_STM1-128_NB;5667_3921_9662_LSY_STM1-128_NB | Ilorin;.;5667_3921_9662_LSY_STM1-128_NB;Priority_5;Ilorin;PDH Link;Ilorin;Alcatel-Lucent;9600 LSY;;EMT-5667;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B3318;B3318 | Ibadan;.;B3318;Priority_2;Ibadan;2G;Ibadan;Alcatel-Lucent;9100 MBS;BTS Rack 1;EMT-3318;RAN;GSM (2G);BTS;IBBL21;;Deployed;;
EMTS NG;B5861;B5861 | Ilorin;.;B5861;Priority_2;Ilorin;2G;Ilorin;Alcatel-Lucent;9100 BTS;Joke;EMT-5861;RAN;GSM (2G);BTS;ILBL35;;Deployed;;
EMTS NG;B4348;B4348 | Benin;.;B4348;Priority_2;Benin;2G;Benin;Alcatel-Lucent;9100 BTS;REGIONAL MANAGER- Ayo Murtala;EMT-4348;RAN;GSM (2G);BTS;;;Deployed;;
EMTS NG;B0457;B0457 | Benin;.;B0457;Priority_2;Benin;2G;Benin;Alcatel-Lucent;9100 BTS;;EMT-0457;RAN;GSM (2G);BTS;ASBN50;;Deployed;;
EMTS NG;4127_4134_9500 MPR;4127_4134_9500 MPR | Ibadan;.;4127_4134_9500 MPR;Priority_5;Ibadan;PDH Link;Ibadan;Alcatel-Lucent;9500 MPR;;EMT-4127;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;U3373;U3373 | Ibadan;.;U3373;Priority_5;Ibadan;3G;Ibadan;Alcatel-Lucent;9326 d2U NodeB;STANDARD;EMT-3373;RAN;WCDMA/UMTS (3G);NodeB;IBRL206;;Deployed;;
EMTS NG;ABK4003_SAR8_1;ABK4003_SAR8_1 | Ibadan;.;ABK4003_SAR8_1;Priority_5;Ibadan;Router;Ibadan;Alcatel-Lucent;7705 SAR;;EMT-4003;FAIP;IP Core Backbone;Core Router;;;Deployed;;
EMTS NG;4075_4129_9400 AWY;4075_4129_9400 AWY | Ibadan;.;4075_4129_9400 AWY;Priority_5;Ibadan;PDH Link;Ibadan;Alcatel-Lucent;9400 AWY;;EMT-4075;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;4249_5543_9415AWY004-04E1;4249_5543_9415AWY004-04E1 | Ilorin;.;4249_5543_9415AWY004-04E1;Priority_5;Ilorin;PDH Link;Ilorin;Alcatel-Lucent;9400 AWY;;EMT-4249;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;4750_4712_9413AWY016-16E1;4750_4712_9413AWY016-16E1 | Ilorin;.;4750_4712_9413AWY016-16E1;Priority_5;Ilorin;PDH Link;Ilorin;Alcatel-Lucent;9400 AWY;;EMT-4750;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B5561_2_ADM;B5561_2_ADM | Ibadan;.;B5561_2_ADM;Priority_1;Ibadan;TRX;Ibadan;Alcatel-Lucent;1662 SMC;;EMT-5561;Transmission;DWDM/OMSN;OMSN;;0;Deployed;;
EMTS NG;B5594;B5594 | Benin;.;B5594;Priority_2;Benin;2G;Benin;Alcatel-Lucent;9100 MBS;REGIONAL MANAGER-Ayo Murtala;EMT-5594;RAN;GSM (2G);BTS;BNBL11;;Deployed;;
EMTS NG;3317_3458_9400 AWY;3317_3458_9400 AWY | Ibadan;.;3317_3458_9400 AWY;Priority_5;Ibadan;PDH Link;Ibadan;Alcatel-Lucent;9400 AWY;;EMT-3317;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;ALUNM1;ALUNM1 | Lagos;.;ALUNM1;Priority_5;Lagos;NEMS;Lagos;Alcatel-Lucent;1354 RM;;EMT-Lekki Data Center;VAS/NEMS;NEMS;NEMS_TX;ALUNM1;;Deployed;;
EMTS NG;B2619;B2619 | Enugu;.;B2619;Priority_5;Enugu;2G;Enugu;Nokia;Flexi Edge BTS;BTS Site Manager 5.2;EMT-2619;RAN;GSM (2G);BTS;ENBN04;;Deployed;;
EMTS NG;B4531;B4531 | Benin;.;B4531;Priority_1;Benin;2G;Benin;Alcatel-Lucent;9100 MBS;REGIONAL MANAGER-Ayo Murtala;EMT-4531;RAN;GSM (2G);BTS;BNBL25;;Deployed;;
EMTS NG;5544_5545_9662_LSY_STM1-128_NB;5544_5545_9662_LSY_STM1-128_NB | Ilorin;.;5544_5545_9662_LSY_STM1-128_NB;Priority_5;Ilorin;PDH Link;Ilorin;Alcatel-Lucent;9600 LSY;;EMT-5544;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;4009_4072_9400 AWY;4009_4072_9400 AWY | Ibadan;.;4009_4072_9400 AWY;Priority_5;Ibadan;PDH Link;Ibadan;Alcatel-Lucent;9400 AWY;;EMT-4009;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;5531_5530_9400 AWY;5531_5530_9400 AWY | Ibadan;.;5531_5530_9400 AWY;Priority_5;Ibadan;PDH Link;Ibadan;Alcatel-Lucent;9400 AWY;;EMT-5531;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;4253_4511_9415AWY004-08E1;4253_4511_9415AWY004-08E1 | Benin;.;4253_4511_9415AWY004-08E1;Priority_5;Benin;PDH Link;Benin;Alcatel-Lucent;9400 AWY;;EMT-4253;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B5561;B5561 | Ibadan;.;B5561;Priority_2;Ibadan;2G;Ibadan;Alcatel-Lucent;9100 BTS;Joke;EMT-5561;RAN;GSM (2G);BTS;ABBL41;;Deployed;;
EMTS NG;ABML17;ABML17 | Ibadan;.;ABML17;Priority_1;Ibadan;2G;Ibadan;Alcatel-Lucent;9130 MFS;REGIONAL MANAGER-Seun;EMT-4136;RAN;GSM (2G);MFS;ABBL18;;Deployed;;
EMTS NG;ABML08;ABML08 | Ibadan;.;ABML08;Priority_1;Ibadan;2G;Ibadan;Alcatel-Lucent;9130 MFS;Related To BSC_ABBL26;EMT-4136;RAN;GSM (2G);MFS;;;Deployed;;
EMTS NG;B1673;B1673 | Enugu;.;B1673;Priority_2;Enugu;2G;Enugu;Nokia;Flexi Edge BTS;BTS Site Manager 5.2;EMT-1673;RAN;GSM (2G);BTS;ENBN04;;Deployed;;
EMTS NG;B3458;B3458 | Ibadan;.;B3458;Priority_1;Ibadan;2G;Ibadan;Alcatel-Lucent;9100 BTS;REGIONAL MANAGER-Bunmi;EMT-3458;RAN;GSM (2G);BTS;IBBL21;;Deployed;;
EMTS NG;B1848;B1848 | Onitsha;.;B1848;Priority_2;Onitsha;2G;Onitsha;Nokia;Flexi Edge BTS;BTS Site Manager 5.2;EMT-1848;RAN;GSM (2G);BTS;ONBN02;;Deployed;;
EMTS NG;B3356;B3356 | Ibadan;.;B3356;Priority_2;Ibadan;2G;Ibadan;Alcatel-Lucent;9100 MBS;REGIONAL MANAGER-Obiora;EMT-3356;RAN;GSM (2G);BTS;;;Deployed;;
EMTS NG;B3505;B3505 | Ibadan;.;B3505;Priority_1;Ibadan;2G;Ibadan;Alcatel-Lucent;9100 BTS;Joke;EMT-3505;RAN;GSM (2G);BTS;IBBL03;;Deployed;;
EMTS NG;B2715;B2715 | Onitsha;.;B2715;Priority_2;Onitsha;2G;Onitsha;Nokia;Flexi Edge BTS;BTS Site Manager 5.2;EMT-2715;RAN;GSM (2G);BTS;ONBN02;;Deployed;;
EMTS NG;B4779;B4779 | Ilorin;.;B4779;Priority_2;Ilorin;2G;Ilorin;Alcatel-Lucent;9100 MBS;BTS Rack 1;EMT-4779;RAN;GSM (2G);BTS;ILBL28;;Deployed;;
EMTS NG;B1542;B1542 | Enugu;.;B1542;Priority_2;Enugu;2G;Enugu;Nokia;Flexi Edge BTS;BTS Site Manager 5.2;EMT-1542;RAN;GSM (2G);BTS;GBBN09;;Deployed;;
EMTS NG;B1324;B1324 | Enugu;.;B1324;Priority_2;Enugu;2G;Enugu;Nokia;Flexi Edge BTS;BTS Site Manager 5.2;EMT-1324;RAN;GSM (2G);BTS;ENBN04;;Deployed;;
