Company;Site Name;Site Alias;Description;Region;Site Group;Street;Country;City;Latitude;Longitude;Maintenance Circle Name;Site Type;Location ID;Additional Site Details;Status
EMTS NG;EMT-5870;EMT-5870;;Benin;Benin;Plot Along Old Sapele Road, Okwarjeba, ;Nigeria;Beni;;;;;;;Enabled
EMTS NG;EMT-3990;EMT-3990;;Ibadan;Ibadan;Jesu Loba Close, Agura-Sabo, Shagamu ;Nigeria;Ijebu-Ode;;;;;;;Enabled
EMTS NG;EMT-4304;EMT-4304;;Benin;Benin;No 2, Noghayin-Agbon Street, Off Upper Lawan Road;Nigeria;Benin City;;;;;;;Enabled
EMTS NG;EMT-5953;EMT-5953;;Ibadan;Ibadan;Mowe Ofada Rd, Alimosho Bus Stop, ;Nigeria;Ijebu-Ode;;;;;;;Enabled
EMTS NG;EMT-5890;EMT-5890;;Ilorin;Ilorin;First Baptist Church Isanlu-Isin, Isin Local Government;Nigeria;Ilorin;;;;;;;Enabled
EMTS NG;EMT-3473;EMT-3473;;Benin;Benin;UBOLUKU STREET, OWUTU;Nigeria;Benin;;;;;;;Enabled
EMTS NG;EMT-5964;EMT-5964;;Ilorin;Ilorin;Ikpoba Slope Benin, Edo State;Nigeria;Benin City;;;;;;;Enabled
EMTS NG;EMT-3679;EMT-3679;;Ilorin;Ilorin;Beside Star Rock View Hotel, Aramoko Road, Erio, Ekiti State;Nigeria;Ado-Ekiti;;;;;;;Enabled
EMTS NG;EMT-5889;EMT-5889;;Benin;Benin;Ehiegba Street, off Goodwill Street, Benin-City, Edo State;Nigeria;Benin City;;;;;;;Enabled
EMTS NG;EMT-4339;EMT-4339;;Benin;Benin;B4339-No, 18 Iyoneki Crescent;Nigeria;Benin City;;;;;;;Enabled
EMTS NG;EMT-5998;EMT-5998;;Ilorin;Ilorin;Apomu Garage, Apomu;Nigeria;Akure;;;;;;;Enabled
EMTS NG;EMT-3488;EMT-3488;;Ilorin;Ilorin;No 3, Obaju Street, off Baptist Primary School;Nigeria;Ilorin;;;;;;;Enabled
EMTS NG;EMT-5950;EMT-5950;;Benin;Benin;Akhugbe Lane, Ogida Qtrs, Benin, Edo State;Nigeria;Benin City;;;;;;;Enabled
EMTS NG;EMT-2149;EMT-2149;TBD;Calabar;Calabar;55, Abak Road, Okon Town, Ikot- Abasi LGA, Akwa Ibom State;Nigeria;OKON;16.86491;47.986998;Cat. B;;;;Enabled
EMTS NG;EMT-2147;EMT-2147;TBD;Port Hacourt;Port Hacourt;Off No.10 Ogbeada, rd off Ahoada rd, Omoku rivers State;Nigeria;OMOKU;16.86491;47.986998;Cat. B;;;;Enabled
EMTS NG;EMT-2150;EMT-2150;TBD;Calabar;Calabar;Ibekwe, Ikot Abasi Town, Akwa ibom;Nigeria;Calabar;16.86491;47.986998;Cat. B;;;;Enabled
EMTS NG;EMT-3520;EMT-3520;0;Ibadan;Ibadan;Alafia Street Olorunsogo Akanran Road Ibadan. Oyo State;Nigeria;Ibadan;3.93248;7.36246;;;;;Enabled
EMTS NG;EMT-4590;EMT-4590;0;Benin;Benin;Plot near the Market Ezhionum Abbi Road. Delta State;Nigeria;Benin;;;;;;;Enabled
EMTS NG;EMT-0360;EMT-0360;;Benin;Benin;Okhoro Divisional Police Qtrs, Okhoro Area, Benin City;Nigeria;Benin;;;;;;;Enabled
EMTS NG;EMT-4156;EMT-4156;;Ibadan;Ibadan;;Nigeria;Ibadan;;;;;;;Enabled
EMTS NG;EMT-4777;EMT-4777;;Benin;Benin;OGUNOBU STREET,  OFF IGBINOSA OGBEBOR LANE, EKOSODIN QUARTERS, BENIN CITY;Nigeria;Benin;;;;;;;Enabled
EMTS NG;EMT-4550;EMT-4550;;Benin;Benin;10, 3rd Akugbe off Akugbe Street by Siluko Road, Benin City;Nigeria;Benin;;;;;;;Enabled
EMTS NG;EMT-3950;EMT-3950;;Ibadan;Ibadan;No. 11 Success Avenue off Ibadan - Lagos Expressway, Loburo, Obafemi Owode LGA, Ogun State;Nigeria;Ibadan;;;;;;;Enabled
EMTS NG;EMT-4238;EMT-4238;Accessible 24/7;Ilorin;Ilorin;85 UBIAJA ROAD.UROMI.EDO STATE;Nigeria;Benin;6.7029;6.33967;;;;;Enabled
EMTS NG;EMT-4239;EMT-4239;Accessible 24/7;Ilorin;Ilorin;Plot of land along Amedokhian Rd. Before Police Station. Amiedokhan Uromi. Edo-State.;Nigeria;Benin;6.72246;6.3739;;;;;Enabled
EMTS NG;EMT-4240;EMT-4240;Accessible 24/7;Ilorin;Ilorin;N0 18.ANEGBODE STREET.OFF AMENDOKHIAN RD..UROMI.EDO-STATE;Nigeria;Benin;6.71731;6.34522;;;;;Enabled
EMTS NG;EMT-4242;EMT-4242;Accessible 24/7;Ilorin;Ilorin;NO 260.IHUMUDUMU ROAD.EKPOMA EDO STATE;Nigeria;Benin;6.74615;6.10487;;;;;Enabled
EMTS NG;EMT-4244;EMT-4244;Accessible 24/7;Ilorin;Ilorin;NO 8 MAGISTRATE COURT ROAD AUCHI .EDO STATE;Nigeria;Ilorin;7.07754;6.24965;;;;;Enabled
EMTS NG;EMT-4245;EMT-4245;Accessible 24/7;Ilorin;Ilorin;2C 19.SABO STREET.SABO SOUTH-IBIE.AUCHI.EDO STATE;Nigeria;Ilorin;7.05753;6.28072;;;;;Enabled
EMTS NG;EMT-5849;EMT-5849;Accessible 24/7;Ibadan;Ibadan;Olorunrinu. Idi Oro. Apete Ido L.G.A. Ibadan. Oyo state;Nigeria;Ibadan;;;;;;;Enabled
EMTS NG;EMT-3648;EMT-3648;Restricted accessibility: Mo-Sat 8-17h;Ibadan;Ibadan;MFM 2nd gate Magboro;Nigeria;Ibadan;8.16184;4.74885;;;;;Enabled
EMTS NG;EMT-4578;EMT-4578;0;Benin;Benin;55. Old Sapele-Agbor Road. Oria Abraka Ethiope East LGA. Delta State;Nigeria;Benin;6.0532;5.76036;;;;;Enabled
EMTS NG;EMT-2812;EMT-2812;TBD;Lokoja;Lokoja;Abobo Eika Okehi LGA, Kogi State;Nigeria;OKEHI;16.86491;47.986998;Cat. B;;;;Enabled
EMTS NG;EMT-2816;EMT-2816;TBD;Port Hacourt;Port Hacourt;Anglican Church Road Igbogene, Bayelsa State;Nigeria;IGBOGHENE;16.86491;47.986998;Cat. B;;;;Enabled
EMTS NG;EMT-2820;EMT-2820;TBD;Onitsha;Onitsha;Ozo Paul obi?s plot Ezinifite, Aguata L.G.A Anambra State;Nigeria;AGUATA;16.86491;47.986998;Cat. B;;;;Enabled
EMTS NG;EMT-R5983;EMT-R5983;0;Benin;Benin;Plot between Iluobe Filling Station And Bukkimore Block Industry. Issele Uku Juction Issele Uku Delta State;Nigeria;Benin;;;;;;;Enabled
EMTS NG;EMT-3518;EMT-3518;Accessible 24/7;Ibadan;Ibadan;OKI VILLAGE. OLODO. IBADAN. OYO STATE;Nigeria;Ibadan;7.41582;4.001043;;;;;Enabled
EMTS NG;EMT-5942;EMT-5942;TBD;Ilorin;Ilorin;Owo GRA. Ondo State;Nigeria;Ilorin;16.86491;47.986998;Cat. B;;;;Enabled
EMTS NG;EMT-0445;EMT-0445;Accessible 24/7;Benin;Benin;Sapele Road. by Road Safety. Benin City. Edo State.;Nigeria;Benin;6.27981;5.63486;;;;;Enabled
EMTS NG;EMT-0452;EMT-0452;Restricted accessibility: Mo-Sat 8-17h;Benin;Benin;Ugwo Side. Uwelu Area. Benin City. Edo State;Nigeria;Benin;6.388055;5.573055;;;;;Enabled
EMTS NG;EMT-0463;EMT-0463;TBD;Ibadan;Ibadan;Day Waterman College. Along Sagamu-Abeokuta Expressway. Ogun State;Nigeria;Ibadan;16.86491;47.986998;Cat. B;;;;Enabled
EMTS NG;EMT-3157;EMT-3157;TBD;Ibadan;Ibadan;No 10 Babalola Daramola Avenue. Ibafor. Ogun State;Nigeria;Ibadan;16.86491;47.986998;Cat. B;;;;Enabled
EMTS NG;EMT-5969;EMT-5969;TBD;Benin;Benin;Plot of Land at Mission Lane. Oduga Quarters. Akumazi Umuocha. Umudede Asaba. Delta State;Nigeria;Asaba;16.86491;47.986998;Cat. B;;;;Enabled
EMTS NG;EMT-IBRL212;EMT-IBRL212;TBD;Ibadan;Ibadan;15. BABANLA IKUBOLAJE COMPOUND.EDE SOUTH.EDE.OSUN-STATE.;Nigeria;Ilorin;16.86491;47.986998;Cat. B;;;;Enabled
EMTS NG;EMT-3598;EMT-3598;Accessible 24/7;Ilorin;Ilorin;Adebiyi Road. Off Adesoye College Road. Offa Kwara State;Nigeria;Ilorin;8.14141;4.73619;;;;;Enabled
EMTS NG;EMT-2143;EMT-2143;TBD;Port Hacourt;Port Hacourt;Ochila Road, near Civic Centre, Okogbe Town, Rivers State;Nigeria;OKOGBE;16.86491;47.986998;Cat. B;;;;Enabled
EMTS NG;EMT-3619;EMT-3619;Accessible 24/7;Ilorin;Ilorin;NO 21.ITASIN STREET.MODAKEKE IFE OSUN STATE;Nigeria;Ilorin;7.47685;4.54731;;;;;Enabled
EMTS NG;EMT-2145;EMT-2145;TBD;Port Hacourt;Port Hacourt;#4 HOSPITAL ROAD, Opp Jackie Slaughter Rd, Ogna/Egnema/Ndoni LGA Rivers State;Nigeria;MGBEDE EGBEMA;16.86491;47.986998;Cat. B;;;;Enabled
EMTS NG;EMT-3652;EMT-3652;Restricted accessibility: Mo-Sat 8-17h;Ilorin;Ilorin;Station road. Iloko - Ijesa. Osun state;Nigeria;Ilorin;7.64482;4.81771;;;;;Enabled
EMTS NG;EMT-3825;EMT-3825;Accessible 24/7;Ilorin;Ilorin;23. Oyeneyin Street. Erinketa. Ondo Town. Ondo State.;Nigeria;Ilorin;7.069694444;4.837888889;;;;;Enabled
EMTS NG;EMT-3827;EMT-3827;Restricted accessibility: Mo-Sat 8-17h;Ilorin;Ilorin;Achievers Way. Iyere-Owo. Ondo State;Nigeria;Ilorin;7.1805;5.58372;;;;;Enabled
EMTS NG;EMT-4300;EMT-4300;Accessible 24/7;Benin;Benin;29. Oluku Junction. off Benin-Lagos Express Way. Benin City. Edo State;Nigeria;Benin;6.45247;5.59584;;;;;Enabled
EMTS NG;EMT-3301;EMT-3301;TBD;Ibadan;Ibadan;54/452 Elekuro Area. Ibadan.;Nigeria;Ibadan;16.86491;47.986998;Cat. B;;;;Enabled
EMTS NG;EMT-3302;EMT-3302;TBD;Ibadan;Ibadan;6/50 Oke Agbo Area. Aponmode Moniya High School Road. Moniya.;Nigeria;Ibadan;16.86491;47.986998;Cat. B;;;;Enabled
EMTS NG;EMT-3303;EMT-3303;Accessible 24/7;Ibadan;Ibadan;Olayiwola Avenue. off Akobo Ojurin road. Ibadan;Nigeria;Ibadan;7.42763;3.93737;;;;;Enabled
EMTS NG;EMT-3305;EMT-3305;Accessible 24/7;Ibadan;Ibadan;No. 14. Adewale Thompson Street. Idi-Ishin. Jericho;Nigeria;Ibadan;7.40154;3.85638;;;;;Enabled
EMTS NG;EMT-3509;EMT-3509;Restricted accessibility: Mo-Sat 8-17h;Ibadan;Ibadan;Oscoed. Ogbegbe Road. Oke- Oroki. Oyo Town. Oyo State.;Nigeria;Ibadan;7.86475;3.91778;;;;;Enabled
EMTS NG;EMT-3513;EMT-3513;Accessible 24/7;Ibadan;Ibadan;Aiye Darade Agrid Off Olomi Rd. Oluyole Local Government. Ibadan. Oyo State;Nigeria;Ibadan;7.33081;3.92497;;;;;Enabled
EMTS NG;EMT-3841;EMT-3841;Accessible 24/7;Ilorin;Ilorin;Christ Apostolic Church Premises. Iju Branch. Akure. Ondo State;Nigeria;Ilorin;7.39122;5.25958;;;;;Enabled
EMTS NG;EMT-3828;EMT-3828;Restricted accessibility: Mo-Sat 8-17h;Ilorin;Ilorin;Ikaramu Town Hall. Ikaramu. Akoko-North-West. Ondo State;Nigeria;Ilorin;5.57737;5.8629205;;;;;Enabled
EMTS NG;EMT-3830;EMT-3830;Accessible 24/7;Ilorin;Ilorin;MARY IMMACULATE CATHOLIC CHURCH.FASAN STREET.OKE AGUNLA ONDO.ONDO STATE;Nigeria;Benin;7.09188;4.84458;;;;;Enabled
EMTS NG;EMT-4284;EMT-4284;Accessible 24/7;Benin;Benin;40 AKPEYI LAYOUT ABRAKA.DELTA STATE;Nigeria;Benin;5.78759;6.10247;;;;;Enabled
EMTS NG;EMT-4287;EMT-4287;Accessible 24/7;Ilorin;Ilorin;Plot of Land. Along Iyolue Quaters . Ogbid- Uzairue;Nigeria;Ilorin;7.14729;6.33091;;;;;Enabled
EMTS NG;EMT-4294;EMT-4294;Accessible 24/7;Benin;Benin;5. Ebhomienien Street. off Eneberi Layout. off Jakpa Road. Warri. Delta State.;Nigeria;Benin;5.56203;5.76378;;;;;Enabled
EMTS NG;EMT-4301;EMT-4301;Accessible 24/7;Benin;Benin;45. Christopher Adodo Street. Evbuomore Community. Benin City. Edo State;Nigeria;Benin;6.42317;5.60959;;;;;Enabled
EMTS NG;EMT-4303;EMT-4303;Accessible 24/7;Benin;Benin;9 EKHAGUAVE STREET OFF MEDICAL STORE ROAD.BENIN CITY.EDO STATE;Nigeria;Benin;6.379784;5.630983;;;;;Enabled
EMTS NG;EMT-4306;EMT-4306;Accessible 24/7;Benin;Benin;45 OZIEGBE STREET OFF NEW- LAGOS ROAD BENIN CITY.EDO STATE;Nigeria;Benin;6.35334;5.62597;;;;;Enabled
EMTS NG;EMT-4307;EMT-4307;Accessible 24/7;Benin;Benin;21 Iyi-oba Street. Off Textile Mill Road. Benin City. Edo State;Nigeria;Benin;6.36265;5.61393;;;;;Enabled
EMTS NG;EMT-4308;EMT-4308;Restricted accessibility: Mo-Sat 8-17h;Benin;Benin;MTN_Opem Petroleum;Nigeria;Benin;6.37086;5.59766;;;;;Enabled
EMTS NG;EMT-4310;EMT-4310;Accessible 24/7;Benin;Benin;5. 2nd Powerline road. Off Oni Edigin Street. Egor. Benin City;Nigeria;Benin;6.37167;5.57418;;;;;Enabled
