Company;Site Name;Site Alias;Description;Region;Site Group;Street;Country;City;Latitude;Longitude;Maintenance Circle Name;Site Type;Location ID;Additional Site Details;Status
Telenor PK;TPK-IDO012;TPK-IDO012;ON AIR - [ TP as Guest ];North-1;N1-NDNA1201;Domeli;Pakistan;Dina;33.0111;73.3547;Circle North;Outdoor;Zong-[8378];;
Telenor PK;TPK-IDO015;TPK-IDO015;ON AIR - [ TP as Guest ];North-1;N1-NDNA1201;Domali Remote/Alipur Chatha (Fatehpur);Pakistan;Dina;32.8943;73.2081;Circle North;Outdoor;E.CO-[PK013685PU];;
Telenor PK;TPK-IDOD01;TPK-IDOD01;ON AIR - [ TP Built ];North-2;N2-NSKI1201;Village Dodial Muhallah Malkan Tehsil And Dist Manshera.;Pakistan;Batgram;34.4353;73.2568;Circle North;Outdoor;;;
Telenor PK;TPK-IDR001;TPK-IDR001;ON AIR - [ TP as Host ];North-3;N3-NDGI1201;Shahwali Market Kharkai P.O Dargai Tehsil Dargai Dist. Malakand;Pakistan;Takhtbai;34.5069;71.8945;Circle North;Outdoor;Ufone-[2371];;
Telenor PK;TPK-IDR003;TPK-IDR003;ON AIR - [ TP Built ];North-3;N3-NDGI1201;Shahwali Market Kharkai P.O Dargai Tehsil Dargai Dist. Malakand;Pakistan;Takhtbai;34.5204;71.8954;Circle North;Outdoor;;;
Telenor PK;TPK-IDR009;TPK-IDR009;ON AIR - [ TP as Guest ];North-3;N3-NDGI1201;Garhi Usman Khel, Mohmand Agency Road, Sakhakot;Pakistan;Takhtbai;34.4895;71.854;Circle North;Outdoor;Ufone-[6689];;
Telenor PK;TPK-IDR012;TPK-IDR012;ON AIR - [ TP as Guest ];North-3;N3-NDGI1201;Haryan Kot, Malakand;Pakistan;Takhtbai;34.4954;71.8226;Circle North;Outdoor;Ufone-[2368];;
Telenor PK;TPK-IDRK01;TPK-IDRK01;ON AIR - [ TP Built ];North-3;N3-NDIK1202;Village Daraband Khurd Muhallah Muawe Nagar Dist & Tehsil D.I.Khan;Pakistan;D.I Khan;31.6963;70.7989;Circle North;Outdoor;;;
Telenor PK;TPK-IDS002;TPK-IDS002;ON AIR - [ TP Built ];North-2;N2-NABT5201;Mohallah Bara Koah,Birot Phurd,Tehsil & District Abottabad.;Pakistan;Abbottabad;34.06;73.4778;Circle North;Outdoor;;;
Telenor PK;TPK-IDSH01;TPK-IDSH01;ON AIR - [ TP Built ];North-2;N2-NCHT1203;Mahalla Khorandok Tehsil Drosh District Chitral;Pakistan;Chitral;35.558;71.7975;Circle North;Indoor;;;
Telenor PK;TPK-IDSH07;TPK-IDSH07;ON AIR - [ TP Built ];North-2;North-2;;Pakistan;Darosh;35.60783;71.79599;Circle North;Outdoor;;;
Telenor PK;TPK-IDSH09;TPK-IDSH09;ON AIR - [ TP as Host ];North-2;N2-NCHT1203;Shah Nigar, P/O Darosh Tehsil & District Chitral;Pakistan;Chitral;35.37737;71.78119;Circle North;Outdoor;Warid-[RR0999];;
