Company;Site Name;Site Alias;Description;Region;Site Group;Street;Country*+;City*+;Latitude;Longitude;Maintenance Circle Name; Site Type;Location ID;PrimAlias;Additional Site Details;Status
Dummy Company;ABBR-AGADEZ MOSQUEE;AGADEZ MOSQUEE;;Agadez;Agadez;;Country Name;Agadez;;;;;;Yes;;
Dummy Company;ABBR-ARLIT13REL;ARLIT13REL;;Agadez;Agadez;;Country Name;Agadez;;;;;;Yes;;
Dummy Company;ABBR-BOULTOUMREP;BOULTOUMREP;;Grand Est;Grand Est;;Country Name;Grand Est;;;;;;Yes;;
Dummy Company;ABBR-CARRE;CARRE;;Agadez;Agadez;;Country Name;Agadez;;;;;;Yes;;
Dummy Company;ABBR-DGMA2R;DGMA2R;;Agadez;Agadez;;Country Name;Agadez;;;;;;Yes;;
Dummy Company;ABBR-DRUMALORI;DRUMALORI;;Grand Est;Grand Est;;Country Name;Grand Est;;;;;;Yes;;
Dummy Company;ABBR-BONKOUKOU;BONKOUKOU;;Tillabery;Tillabery;;Country Name;Tillabery;;;;;;Yes;;
Dummy Company;ABBR-BORGO;BORGO;;Tillabery;Tillabery;;Country Name;Tillabery;;;;;;Yes;;
Dummy Company;ABBR-BSTS2R;BSTS2R;;Dosso;Dosso;;Country Name;Dosso;;;;;;Yes;;
Dummy Company;ABBR-COOPERATION1-2RELF;COOPERATION1-2RELF;;Niamey;Niamey;;Country Name;Niamey;;;;;;Yes;;
Dummy Company;ABBR-DAGAMANET3 RELF (PAY;DAGAMANET3 RELF (PAY;;Agadez;Agadez;;Country Name;Agadez;;;;;;Yes;;
Dummy Company;ABBR-DJOUND;DJOUND;;Dosso;Dosso;;Country Name;Dosso;;;;;;Yes;;
Dummy Company;ABBR-DOUMEG;DOUMEG;;Dosso;Dosso;;Country Name;Dosso;;;;;;Yes;;
Dummy Company;ABBR-DOUTCHI2RELF;DOUTCHI2RELF;;Dosso;Dosso;;Country Name;Dosso;;;;;;Yes;;
Dummy Company;ABBR-FALWAL;FALWAL;;Dosso;Dosso;;Country Name;Dosso;;;;;;Yes;;
Dummy Company;ABBR-FILLINGUE23RELF;FILLINGUE23RELF;;Tillabery;Tillabery;;Country Name;Tillabery;;;;;;Yes;;
Dummy Company;ABBR-GAOURE;GAOURE;;Dosso;Dosso;;Country Name;Dosso;;;;;;Yes;;
Dummy Company;ABBR-GOUBEY;GOUBEY;;Dosso;Dosso;;Country Name;Dosso;;;;;;Yes;;
Dummy Company;ABBR-GUECHE;GUECHE;;Dosso;Dosso;;Country Name;Dosso;;;;;;Yes;;
Dummy Company;ABBR-KIOTA2;KIOTA2;;Dosso;Dosso;;Country Name;Dosso;;;;;;Yes;;
Dummy Company;ABBR-KOYGOLO;KOYGOLO;;Dosso;Dosso;;Country Name;Dosso;;;;;;Yes;;
Dummy Company;ABBR-LIDO;LIDO;;Dosso;Dosso;;Country Name;Dosso;;;;;;Yes;;
Dummy Company;ABBR-LOGA;LOGA;;Dosso;Dosso;;Country Name;Dosso;;;;;;Yes;;
Dummy Company;ABBR-BANDE;BANDE;;Grand Est;Grand Est;;Country Name;Grand Est;;;;;;Yes;;
Dummy Company;ABBR-GAMDOU;GAMDOU;;Grand Est;Grand Est;;Country Name;Grand Est;;;;;;Yes;;
