Company;Site Name;Site Alias;Description;Region;Site Group;Street;Country;City;Latitude;Longitude;Maintenance Circle Name;Site Type;Location ID;PrimAlias;Additional Site Details;Status
Orange RIP FR;ORIP-MAY-MXX;ORIP-MAY-MXX;;Mayenne;RIP Mayenne;;France;Mayenne;;;;;;0;;Enabled
Orange RIP FR;ORIP-MAY-SJE  Q_19A;ORIP-MAY-SJE  Q_19A;;Mayenne;RIP Mayenne;"""Mairie 53270 Saint Jean sur Evre""";France;Saint Jean sur Evre;;;;;;0;;Enabled
Orange RIP FR;ORIP-MAY-VAI Q_17A;MAY-VAI Q_17A;;Mayenne;RIP Mayenne;"""Route de Saint Pierre sur Evre 53480 Vaiges""";France;Vaiges;;;;;;1;;Enabled
Orange RIP FR;ORIP-MAY-VAI Q_17A;ORIP-MAY-VAI Q_17A;;Mayenne;RIP Mayenne;"""Route de Saint Pierre sur Evre 53480 Vaiges""";France;Vaiges;;;;;;0;;Enabled
Orange RIP FR;ORIP-GIR-33108TIW;GIR-33108TIW;;Gironde;RIP Gironde;"""52 Avenue Camille Maumey 33350 Castillon-la-Bataille""     ,     ,     ,,";France;Castillon-la-Bataille;;;;;;1;;Enabled
Orange RIP FR;ORIP-GIR-33108TIW;ORIP-GIR-33108TIW;;Gironde;RIP Gironde;"""52 Avenue Camille Maumey 33350 Castillon-la-Bataille""     ,     ,     ,,";France;Castillon-la-Bataille;;;;;;0;;Enabled
Orange RIP FR;ORIP-GIR-LAT;GIR-LAT;;Gironde;RIP Gironde;"""Route de la Seleyre - D10,33160 Latresne""     ,     ,     ,,";France;Latresne;;;;;;1;;Enabled
Orange RIP FR;ORIP-GIR-LAT;ORIP-GIR-LAT;;Gironde;RIP Gironde;"""Route de la Seleyre - D10,33160 Latresne""     ,     ,     ,,";France;Latresne;;;;;;0;;Enabled
Orange RIP FR;ORIP-MAY-ERV M_19B;MAY-ERV M_19B;;Mayenne;RIP Mayenne;"""Rue des jardins 53600 Evron""";France;Evron;;;;;;1;;Enabled
Orange RIP FR;ORIP-MAY-ERV M_19B;ORIP-MAY-ERV M_19B;;Mayenne;RIP Mayenne;"""Rue des jardins 53600 Evron""";France;Evron;;;;;;0;;Enabled
Orange RIP FR;ORIP-GIR-LBS;GIR-LBS;;Gironde;RIP Gironde;"""Intersection chemin Barateau / RD242,33450 Saint Loubes""     ,     ,     ,,";France; Saint Loubes;;;;;;1;;Enabled
Orange RIP FR;ORIP-GIR-LBS;ORIP-GIR-LBS;;Gironde;RIP Gironde;"""Intersection chemin Barateau / RD242,33450 Saint Loubes""     ,     ,     ,,";France; Saint Loubes;;;;;;0;;Enabled
