Product Categorization Tier 1;Product Categorization Tier 2;Product Categorization Tier 3;Product Name;Manufacturer;Model Version
Infrastructure;Access;Access Control;;;
Infrastructure;Fuel;Fuel;;;
Infrastructure;HAVAC;Heating, Ventilation, Airconditioning;;;
Infrastructure;Power Supply;Power Supply;;;
Infrastructure;- None -;- None -;;;
VAS/NEMS;NEMS;NEMS_VOIP;1300 XMC;Alcatel-Lucent;
VAS/NEMS;NEMS;NEMS_VOIP;1310 OMC-P;Alcatel-Lucent;
Multicore;Converged Core;NGN/IMS/MGW;1342 QoSAC;Alcatel-Lucent;
VAS/NEMS;NEMS;NEMS_TX;1350 OMS;Alcatel-Lucent;
VAS/NEMS;NEMS;NEMS_TX;1353 NM;Alcatel-Lucent;
VAS/NEMS;NEMS;NEMS_MOB;1353 UMTS OMC-R;Alcatel-Lucent;
VAS/NEMS;NEMS;NEMS_TX;1354 BM-ETH;Alcatel-Lucent;
VAS/NEMS;NEMS;NEMS_TX;1354 RM;Alcatel-Lucent;
VAS/NEMS;NEMS;NEMS_MOB;1357 ULIS;Alcatel-Lucent;
VAS/NEMS;NEMS;NEMS_TX;1359 IOO;Alcatel-Lucent;
VAS/NEMS;NEMS;NEMS_IP;1360 COM;Alcatel-Lucent;
Transmission;DWDM/OMSN;DWDM/WDM/DXC;1626 LM;Alcatel-Lucent;
Transmission;DWDM/OMSN;OMSN;1640 FOX;Alcatel-Lucent;
Transmission;DWDM/OMSN;DWDM/WDM/DXC;1640 WM/OADM;Alcatel-Lucent;
Transmission;SDH/PDH;SDH;1641 SM;Alcatel-Lucent;
Transmission;DWDM/OMSN;OMSN;1642 EM;Alcatel-Lucent;
Transmission;DWDM/OMSN;OMSN;1642 EM_Link;Alcatel-Lucent;
Transmission;DWDM/OMSN;OMSN;1642 EMC;Alcatel-Lucent;
Transmission;SDH/PDH;SDH;1643 AMS;Alcatel-Lucent;
Transmission;DWDM/OMSN;OMSN;1650 SMC;Alcatel-Lucent;
Transmission;DWDM/OMSN;OMSN;1650 SMC_Link;Alcatel-Lucent;
Transmission;SDH/PDH;SDH;1651 SM;Alcatel-Lucent;
Transmission;DWDM/OMSN;OMSN;1660 SM;Alcatel-Lucent;
Transmission;DWDM/OMSN;OMSN;1660 SM_Link;Alcatel-Lucent;
Transmission;SDH/PDH;SDH;1661 SMC;Alcatel-Lucent;
Transmission;DWDM/OMSN;OMSN;1662 SMC;Alcatel-Lucent;
Transmission;SDH/PDH;SDH;1663 ADMu;Alcatel-Lucent;
Transmission;SDH/PDH;SDH;1664 SM;Alcatel-Lucent;
Transmission;SDH/PDH;SDH;1670 SM;Alcatel-Lucent;
Transmission;SDH/PDH;SDH;1675 LambdaUnite MSS;Alcatel-Lucent;
Transmission;DWDM/OMSN;DWDM/WDM/DXC;1678 MCC;Alcatel-Lucent;
Transmission;DWDM/OMSN;DWDM/WDM/DXC;1696 Metrospan;Alcatel-Lucent;
Transmission;DWDM/OMSN;DWDM/WDM/DXC;1830 PSS-16/32/36;Alcatel-Lucent;1830 PSS-32
Transmission;DWDM/OMSN;DWDM/WDM/DXC;1830 PSS-16/32/36;Alcatel-Lucent;1830 PSS-16
Transmission;DWDM/OMSN;DWDM/WDM/DXC;1830 PSS-16/32/36;Alcatel-Lucent;1830 PSS-4
Transmission;DWDM/OMSN;OTN;1830 PSS-36/64;Alcatel-Lucent;
Transmission;DWDM/OMSN;DWDM/WDM/DXC;1830 PSS-4/16/32/36;Alcatel-Lucent;1830 PSS-4
Transmission;DWDM/OMSN;DWDM/WDM/DXC;1830 PSS-4/16/32/36;Alcatel-Lucent;1830 PSS-32
Transmission;DWDM/OMSN;DWDM/WDM/DXC;1830 PSS-4/16/32/36;Alcatel-Lucent;1830 PSS-8
Transmission;DWDM/OMSN;DWDM/WDM/DXC;1830 VWM;Alcatel-Lucent;
Transmission;SDH/PDH;SDH;1850 TSS-10;Alcatel-Lucent;
Transmission;DWDM/OMSN;DWDM/WDM/DXC;1850 TSS-230;Alcatel-Lucent;
Multicore;Converged Core;NGN/IMS/MGW;5020 IWF;Alcatel-Lucent;
Multicore;Converged Core;NGN/IMS/MGW;5060 IBC-4;Alcatel-Lucent;
