Company;CI Name;Site;Region;Site Group;CI Description;DNS Host Name;System Role;Product Name;Tier 1;Tier 2;Tier 3;Manufacturer;Model Version;Additional Information;Tag Number;CI ID;NbrCells;Domain;Status;Reconciliation Identity;Priority
Vodacom TZ;Sedeco_UCSAF-2G;VTZ-4352;Lake;Lake;Sedeco_UCSAF-2G | Lake;Sedeco_UCSAF-2G;;BTS-Nokia;RAN;GSM (2G);BTS;Nokia;;;BSBT1;;3;VTZ-Sedeco_UCSAF-2G;Deployed;;PRIORITY_5
Vodacom TZ;Neelkanth_Tower_SC_11th_2-4G;VTZ-330;Coastal;Coastal;Neelkanth_Tower_SC_11th_2-4G | Coastal;Neelkanth_Tower_SC_11th_2-4G;4G;eNodeB-Nokia;RAN;LTE (4G);eNodeB;Nokia;;;;;1;VTZ-Neelkanth_Tower_SC_11th_2-4G;Deployed;;PRIORITY_5
Vodacom TZ;Udom_Education-2G;VTZ-5136;Coastal;Coastal;Udom_Education-2G | Coastal;Udom_Education-2G;2G;BTS-Nokia;RAN;GSM (2G);BTS;Nokia;;;BSDO1;;3;VTZ-Udom_Education-2G;Deployed;;PRIORITY_5
Vodacom TZ;Temboni_HTT-4G;VTZ-1973;Coastal;Coastal;Temboni_HTT-4G | Coastal;Temboni_HTT-4G;4G;eNodeB-Nokia;RAN;LTE (4G);eNodeB;Nokia;;;;;3;VTZ-Temboni_HTT-4G;Deployed;;PRIORITY_5
Vodacom TZ;Mandazi_Road_HTT-4G;VTZ-1846;Coastal;Coastal;Mandazi_Road_HTT-4G | Coastal;Mandazi_Road_HTT-4G;4G;eNodeB-Nokia;RAN;LTE (4G);eNodeB;Nokia;;;;;3;VTZ-Mandazi_Road_HTT-4G;Deployed;;PRIORITY_5
Vodacom TZ;KCMC-4G;VTZ-3036;Kili;Kili;KCMC-4G | Kili;KCMC-4G;4G;eNodeB-Nokia;RAN;LTE (4G);eNodeB;Nokia;;;;;3;VTZ-KCMC-4G;Deployed;;PRIORITY_5
Vodacom TZ;Majohe_Shule_HTT-4G;VTZ-1749;Coastal;Coastal;Majohe_Shule_HTT-4G | Coastal;Majohe_Shule_HTT-4G;4G;eNodeB-Nokia;RAN;LTE (4G);eNodeB;Nokia;;;;;3;VTZ-Majohe_Shule_HTT-4G;Deployed;;PRIORITY_5
Vodacom TZ;Tabata_Mandela_HTT-4G;VTZ-1810;Coastal;Coastal;Tabata_Mandela_HTT-4G | Coastal;Tabata_Mandela_HTT-4G;4G;eNodeB-Nokia;RAN;LTE (4G);eNodeB;Nokia;;;;;3;VTZ-Tabata_Mandela_HTT-4G;Deployed;;PRIORITY_5
Vodacom TZ;Buguruni_Shell_HTT-4G;VTZ-1947;Coastal;Coastal;Buguruni_Shell_HTT-4G | Coastal;Buguruni_Shell_HTT-4G;4G;eNodeB-Nokia;RAN;LTE (4G);eNodeB;Nokia;;;;;3;VTZ-Buguruni_Shell_HTT-4G;Deployed;;PRIORITY_5
Vodacom TZ;Chanika_Town_HTT-4G;VTZ-1851;Coastal;Coastal;Chanika_Town_HTT-4G | Coastal;Chanika_Town_HTT-4G;4G;eNodeB-Nokia;RAN;LTE (4G);eNodeB;Nokia;;;;;3;VTZ-Chanika_Town_HTT-4G;Deployed;;PRIORITY_5
Vodacom TZ;Mbwanga-4G;VTZ-5204;Coastal;Coastal;Mbwanga-4G | Coastal;Mbwanga-4G;4G;eNodeB-Nokia;RAN;LTE (4G);eNodeB;Nokia;;;;;3;VTZ-Mbwanga-4G;Deployed;;PRIORITY_5
Vodacom TZ;Mbagala_Mponda_HTT-4G;VTZ-1828;Coastal;Coastal;Mbagala_Mponda_HTT-4G | Coastal;Mbagala_Mponda_HTT-4G;4G;eNodeB-Nokia;RAN;LTE (4G);eNodeB;Nokia;;;;;3;VTZ-Mbagala_Mponda_HTT-4G;Deployed;;PRIORITY_5
Vodacom TZ;Mbezi_Goldstar_HTT-4G;VTZ-1954;Coastal;Coastal;Mbezi_Goldstar_HTT-4G | Coastal;Mbezi_Goldstar_HTT-4G;4G;eNodeB-Nokia;RAN;LTE (4G);eNodeB;Nokia;;;;;3;VTZ-Mbezi_Goldstar_HTT-4G;Deployed;;PRIORITY_5
Vodacom TZ;Kiwira_Coal_Mine-2G;VTZ-6518;Southern;Southern;Kiwira_Coal_Mine-2G | Southern;Kiwira_Coal_Mine-2G;2G;BTS-Nokia;RAN;GSM (2G);BTS;Nokia;;;BSTK1;;3;VTZ-Kiwira_Coal_Mine-2G;Deployed;;PRIORITY_5
Vodacom TZ;Mubinyange-2G;VTZ-4723;Lake;Lake;Mubinyange-2G | Lake;Mubinyange-2G;2G;BTS-Nokia;RAN;GSM (2G);BTS;Nokia;;;BSGT3;;3;VTZ-Mubinyange-2G;Deployed;;PRIORITY_5
Vodacom TZ;Solwa-2G;VTZ-4206;Lake;Lake;Solwa-2G | Lake;Solwa-2G;2G;BTS-Nokia;RAN;GSM (2G);BTS;Nokia;;;BSMW2;;3;VTZ-Solwa-2G;Deployed;;PRIORITY_5
Vodacom TZ;Kolandoto-2G;VTZ-4371;Lake;Lake;Kolandoto-2G | Lake;Kolandoto-2G;2G;BTS-Nokia;RAN;GSM (2G);BTS;Nokia;;;BSSH1;;3;VTZ-Kolandoto-2G;Deployed;;PRIORITY_5
Vodacom TZ;Seuta_HTT-2G;VTZ-2099;Kili;Kili;Seuta_HTT-2G | Kili;Seuta_HTT-2G;2G;BTS-Nokia;RAN;GSM (2G);BTS;Nokia;;;BSTA2;;3;VTZ-Seuta_HTT-2G;Deployed;;PRIORITY_5
Vodacom TZ;Ilemela-3G;VTZ-4368;Lake;Lake;Ilemela-3G | Lake;Ilemela-3G;3G;NodeB-Nokia;RAN;WCDMA/UMTS (3G);NodeB;Nokia;;;RNMW2;;9;VTZ-Ilemela-3G;Deployed;;PRIORITY_5
Vodacom TZ;Kijenge_Primary-2G;VTZ-3030;Kili;Kili;Kijenge_Primary-2G | Kili;Kijenge_Primary-2G;2G;BTS-Nokia;RAN;GSM (2G);BTS;Nokia;;;BSAR3;;3;VTZ-Kijenge_Primary-2G;Deployed;;PRIORITY_5
Vodacom TZ;Sumawe-2G;VTZ-3348;Kili;Kili;Sumawe-2G | Kili;Sumawe-2G;2G;BTS-Nokia;RAN;GSM (2G);BTS;Nokia;;;BSBB1;;3;VTZ-Sumawe-2G;Deployed;;PRIORITY_5
Vodacom TZ;Mahina-2G;VTZ-4301;Lake;Lake;Mahina-2G | Lake;Mahina-2G;2G;BTS-Nokia;RAN;GSM (2G);BTS;Nokia;;;BSMW3;;3;VTZ-Mahina-2G;Deployed;;PRIORITY_5
Vodacom TZ;Segerea_Shule_HTT-2G;VTZ-1815;Coastal;Coastal;Segerea_Shule_HTT-2G | Coastal;Segerea_Shule_HTT-2G;2G;BTS-Nokia;RAN;GSM (2G);BTS;Nokia;;;BSDA5;;3;VTZ-Segerea_Shule_HTT-2G;Deployed;;PRIORITY_5
Vodacom TZ;Mangda-2G;VTZ-5187;Kili;Kili;Mangda-2G | Kili;Mangda-2G;2G;BTS-Nokia;RAN;GSM (2G);BTS;Nokia;;;BSSG1;;6;VTZ-Mangda-2G;Deployed;;PRIORITY_5
Vodacom TZ;Matosa_HTT-4G;VTZ-1773;Coastal;Coastal;Matosa_HTT-4G | Coastal;Matosa_HTT-4G;4G;eNodeB-Nokia;RAN;LTE (4G);eNodeB;Nokia;;;;;3;VTZ-Matosa_HTT-4G;Deployed;;PRIORITY_5
Vodacom TZ;Kasange_HTT-2G;VTZ-4609;Lake;Lake;Kasange_HTT-2G | Lake;Kasange_HTT-2G;2G;BTS-Nokia;RAN;GSM (2G);BTS;Nokia;;;BSGT3;;3;VTZ-Kasange_HTT-2G;Deployed;;PRIORITY_5
Vodacom TZ;Kibena-2G;VTZ-6019;Southern;Southern;Kibena-2G | Southern;Kibena-2G;2G;BTS-Nokia;RAN;GSM (2G);BTS;Nokia;;;BSIR2;;3;VTZ-Kibena-2G;Deployed;;PRIORITY_5
Vodacom TZ;Basotu-2G;VTZ-3163;Kili;Kili;Basotu-2G | Kili;Basotu-2G;2G;BTS-Nokia;RAN;GSM (2G);BTS;Nokia;;;BSBB1;;6;VTZ-Basotu-2G;Deployed;;PRIORITY_5
Vodacom TZ;Mangae-2G;VTZ-2059;Coastal;Coastal;Mangae-2G | Coastal;Mangae-2G;2G;BTS-Nokia;RAN;GSM (2G);BTS;Nokia;;;BSMR1;;3;VTZ-Mangae-2G;Deployed;;PRIORITY_5
Vodacom TZ;Businde_HTT-2G;VTZ-4521;Lake;Lake;Businde_HTT-2G | Lake;Businde_HTT-2G;2G;BTS-Nokia;RAN;GSM (2G);BTS;Nokia;;;BSBK1;;3;VTZ-Businde_HTT-2G;Deployed;;PRIORITY_5
Vodacom TZ;Uyole_Gombe-2G;VTZ-6106;Southern;Southern;Uyole_Gombe-2G | Southern;Uyole_Gombe-2G;2G;BTS-Nokia;RAN;GSM (2G);BTS;Nokia;;;BSMB3;;3;VTZ-Uyole_Gombe-2G;Deployed;;PRIORITY_5
Vodacom TZ;Mwakaganga-2G;VTZ-6159;Southern;Southern;Mwakaganga-2G | Southern;Mwakaganga-2G;2G;BTS-Nokia;RAN;GSM (2G);BTS;Nokia;;;BSMK1;;3;VTZ-Mwakaganga-2G;Deployed;;PRIORITY_5
Vodacom TZ;Bonyokwa-4G;VTZ-1197;Coastal;Coastal;Bonyokwa-4G | Coastal;Bonyokwa-4G;4G;eNodeB-Nokia;RAN;LTE (4G);eNodeB;Nokia;;;;;6;VTZ-Bonyokwa-4G;Deployed;;PRIORITY_5
Vodacom TZ;Tundwi_Airtel-2G;VTZ-1910;Coastal;Coastal;Tundwi_Airtel-2G | Coastal;Tundwi_Airtel-2G;2G;BTS-Nokia;RAN;GSM (2G);BTS;Nokia;;;BSDA5;;3;VTZ-Tundwi_Airtel-2G;Deployed;;PRIORITY_5
Vodacom TZ;Mindu-4G;VTZ-1084;Coastal;Coastal;Mindu-4G | Coastal;Mindu-4G;4G;eNodeB-Nokia;RAN;LTE (4G);eNodeB;Nokia;;;;;3;VTZ-Mindu-4G;Deployed;;PRIORITY_5
Vodacom TZ;Kiboroloni_KDC-2G;VTZ-3146;Kili;Kili;Kiboroloni_KDC-2G | Kili;Kiboroloni_KDC-2G;2G;BTS-Nokia;RAN;GSM (2G);BTS;Nokia;;;BSMS2;;3;VTZ-Kiboroloni_KDC-2G;Deployed;;PRIORITY_5
Vodacom TZ;Samunge-2G;VTZ-3259;Kili;Kili;Samunge-2G | Kili;Samunge-2G;2G;BTS-Nokia;RAN;GSM (2G);BTS;Nokia;;;BSBB1;;3;VTZ-Samunge-2G;Deployed;;PRIORITY_5
Vodacom TZ;Rorya_HTT-2G;VTZ-4587;Lake;Lake;Rorya_HTT-2G | Lake;Rorya_HTT-2G;2G;BTS-Nokia;RAN;GSM (2G);BTS;Nokia;;;BSMU1;;3;VTZ-Rorya_HTT-2G;Deployed;;PRIORITY_5
Vodacom TZ;Robanda-2G;VTZ-4233;Lake;Lake;Robanda-2G | Lake;Robanda-2G;2G;BTS-Nokia;RAN;GSM (2G);BTS;Nokia;;;BSBT1;;3;VTZ-Robanda-2G;Deployed;;PRIORITY_5
Vodacom TZ;University-4G;VTZ-1032;Coastal;Coastal;University-4G | Coastal;University-4G;4G;eNodeB-Nokia;RAN;LTE (4G);eNodeB;Nokia;;;;;3;VTZ-University-4G;Deployed;;PRIORITY_5
