Company;Site Name;Site Alias;Description;Region;Site Group;Street;Country;City;Latitude;Longitude;Maintenance Circle Name;Site Type;Location ID;PrimAlias;Additional Site Details;Status
Vodacom TZ;VTZ-1157; 1157.0;Ndugumbi;Coastal;Coastal;;Tanzania;Kili;-6.80102;39.253497;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-1157;Ndugumbi;Ndugumbi;Coastal;Coastal;;Tanzania;Kili;-6.80102;39.253497;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-1185; 1185.0;MnaziMmoja;Coastal;Coastal;;Tanzania;Kili;-6.81744;39.2783;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-1227;Chwaka;Chwaka;Coastal;Coastal;;Tanzania;Lake;-6.1657;39.4296;;Access_20;;1;;Enabled
Vodacom TZ;VTZ-1253; 1253.0;Kaluta;Coastal;Coastal;;Tanzania;Lake;-6.81922;39.2851;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-1357; 1357.0;BoT_Towers_Micro;Coastal;Coastal;;Tanzania;Dar;-6.81589;39.2942;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-1439;Bromain_Kipawa;Bromain_Kipawa;Coastal;Coastal;;Tanzania;Lake;-6.86095;39.2248;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-1157;VTZ-1157;Ndugumbi;Coastal;Coastal;;Tanzania;Kili;-6.80102;39.253497;;FlexMultradio;;0;;Enabled
Vodacom TZ;VTZ-1168;VTZ-1168;Kilimanjaro_K;Coastal;Coastal;;Tanzania;Lake;-6.81642;39.29315;;FlexMultradio;;0;;Enabled
Vodacom TZ;VTZ-1185;VTZ-1185;MnaziMmoja;Coastal;Coastal;;Tanzania;Kili;-6.81744;39.2783;;FlexMultradio;;0;;Enabled
Vodacom TZ;VTZ-1168; 1168.0;Kilimanjaro_K;Coastal;Coastal;;Tanzania;Lake;-6.81642;39.29315;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-1227; 1227.0;Chwaka;Coastal;Coastal;;Tanzania;Lake;-6.1657;39.4296;;Access_20;;1;;Enabled
Vodacom TZ;VTZ-1243; 1243.0;Southern_Sun;Coastal;Coastal;;Tanzania;Dar;-6.8119;39.2938;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-1439; 1439.0;Bromain_Kipawa;Coastal;Coastal;;Tanzania;Lake;-6.86095;39.2248;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-1168;Kilimanjaro_K;Kilimanjaro_K;Coastal;Coastal;;Tanzania;Lake;-6.81642;39.29315;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-1253;Kaluta;Kaluta;Coastal;Coastal;;Tanzania;Lake;-6.81922;39.2851;;FlexMultradio;;1;;Enabled
